school,in,out
"Stanford",92,412
"MIT",100,364
"Harvard",177,344
"UC Berkeley",71,221
"Rochester",35,117
"Chicago",110,264
"Cornell",48,170
"Northwestern",127,248
"Michigan",105,282
"Columbia",108,185
"Yale",64,121
"UPenn",196,279
"Carnegie Mellon",72,149
"Wisconsin",60,152
"UCLA",86,138
"NYU",146,215
"Minnesota",105,169
"Illinois, Urb. Champ.",86,208
"Duke",82,114
"Purdue",72,165
"Ohio State",83,179
"Iowa",69,104
"UNC",99,165
"Wash. U. in St. Louis",61,66
"Florida",67,117
"Lower 87 Universities",5535,2908
