school,in,out
"Stanford",92,412
"MIT",100,364
"Harvard",177,344
"UC Berkeley",71,221
"Rochester",35,117
"Chicago",110,264
"Cornell",48,170
"Northwestern",127,248
"Michigan",105,282
"Columbia",108,185
"Yale",64,121
"UPenn",196,279
"Carnegie Mellon",72,149
"Wisconsin",60,152
"UCLA",86,138
"NYU",146,215
"Minnesota",105,169
"Illinois, Urb. Champ.",86,208
"Duke",82,114
"Purdue",72,165
"Ohio State",83,179
"Iowa",69,104
"UNC",99,165
"Wash. U. in St. Louis",61,66
"Florida",67,117
"UT Austin",115,210
"Pittsburgh",59,91
"Penn State",71,145
"Washington",80,82
"Maryland",97,100
"Indiana",95,173
"Michigan State",100,165
"Georgia Tech",54,55
"Colorado, Boulder",51,53
"UC Irvine",41,29
"Arizona",77,78
"Utah",28,36
"Oregon",44,32
"USC",153,89
"SUNY Buffalo",50,54
"UT Dallas",72,26
"Virginia",59,34
"Boston",92,56
"UMass Amherst",60,54
"TexasAM",75,122
"Emory",63,25
"Case Western",51,43
"UC Davis",30,7
"Georgia",86,92
"Vanderbilt",38,11
"Syracuse",52,37
"Claremont",17,10
"Arizona State",127,85
"South Carolina",80,56
"Virginia Tech",87,70
"Florida State",56,62
"Oklahoma",49,32
"Tulane",30,18
"UConn",66,32
"Boston College",72,39
"Cincinnati",56,42
"Houston",85,48
"Rutgers",100,39
"Kansas",44,27
"Louisiana State",53,33
"Arkansas",64,34
"Tennessee",76,57
"Dartmouth",47,3
"Kentucky",79,34
"Rice",42,7
"SMU",55,10
"Temple",96,22
"George Washington",102,34
"Alabama",79,30
"Oklahoma State",68,32
"SUNY Binghamton",30,9
"Iowa State",62,15
"CUNY Baruch",103,31
"Hawaii",45,4
"Mississippi",30,8
"Missouri, St. Louis",36,2
"Georgetown",63,5
"Drexel",72,9
"Auburn",54,8
"Notre Dame",78,8
"NC State",67,11
"Miami",73,3
"Saint Louis",36,11
"Worcester",16,1
"William and Mary",42,1
"Clarkson",17,0
"Brigham Young",99,2
"Fordham",80,6
"Santa Clara",68,1
"Portland State",39,1
"Rollins",17,0
"Northeastern",91,4
"Miami at Ohio",79,1
"Bentley",147,1
"Howard",32,3
"Rochester Inst. Tech.",27,0
"Texas Christian",53,0
"Abilene",14,0
"Babson",79,0
"Pepperdine",53,0
"Denver",46,1
"Wake Forest",48,0
"Thunderbird",31,0
"Pace",64,1
"Baylor",76,2
"DePaul",92,2
"Hofstra",53,2
