has,prefers,count
"Stanford","Stanford",3
"MIT","MIT",2
"Harvard","Harvard",10
"UC Berkeley","UC Berkeley",2
"Rochester","Rochester",0
"Chicago","Chicago",2
"Cornell","Cornell",0
"Northwestern","Northwestern",4
"Michigan","Michigan",3
"Columbia","Columbia",1
"Yale","Yale",2
"UPenn","UPenn",1
"Carnegie Mellon","Carnegie Mellon",0
"Wisconsin","Wisconsin",0
"UCLA","UCLA",0
"NYU","NYU",1
"Minnesota","Minnesota",0
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",1
"Duke","Duke",2
"Purdue","Purdue",0
"Ohio State","Ohio State",1
"Iowa","Iowa",1
"UNC","UNC",6
"Wash. U. in St. Louis","Wash. U. in St. Louis",0
"Florida","Florida",0
"UT Austin","UT Austin",1
"Pittsburgh","Pittsburgh",0
"Penn State","Penn State",1
"Washington","Washington",2
"Maryland","Maryland",0
"Indiana","Indiana",3
"Michigan State","Michigan State",3
"Georgia Tech","Georgia Tech",0
"Colorado, Boulder","Colorado, Boulder",0
"UC Irvine","UC Irvine",0
"Arizona","Arizona",0
"Utah","Utah",0
"Oregon","Oregon",0
"USC","USC",7
"SUNY Buffalo","SUNY Buffalo",0
"UT Dallas","UT Dallas",0
"Virginia","Virginia",0
"Boston","Boston",2
"UMass Amherst","UMass Amherst",2
"TexasAM","TexasAM",0
"Emory","Emory",1
"Case Western","Case Western",1
"UC Davis","UC Davis",0
"Georgia","Georgia",1
"Vanderbilt","Vanderbilt",1
"Syracuse","Syracuse",0
"Claremont","Claremont",0
"Arizona State","Arizona State",0
"South Carolina","South Carolina",0
"Virginia Tech","Virginia Tech",5
"Florida State","Florida State",2
"Oklahoma","Oklahoma",3
"Tulane","Tulane",0
"UConn","UConn",1
"Boston College","Boston College",1
"Cincinnati","Cincinnati",0
"Houston","Houston",5
"Rutgers","Rutgers",0
"Kansas","Kansas",1
"Louisiana State","Louisiana State",0
"Arkansas","Arkansas",1
"Tennessee","Tennessee",2
"Dartmouth","Dartmouth",0
"Kentucky","Kentucky",0
"Rice","Rice",0
"SMU","SMU",0
"Temple","Temple",0
"George Washington","George Washington",2
"Alabama","Alabama",1
"Oklahoma State","Oklahoma State",1
"SUNY Binghamton","SUNY Binghamton",1
"Iowa State","Iowa State",1
"CUNY Baruch","CUNY Baruch",0
"Hawaii","Hawaii",0
"Mississippi","Mississippi",0
"Missouri, St. Louis","Missouri, St. Louis",0
"Georgetown","Georgetown",0
"Drexel","Drexel",0
"Auburn","Auburn",0
"Notre Dame","Notre Dame",0
"NC State","NC State",0
"Miami","Miami",1
"Saint Louis","Saint Louis",3
"Worcester","Worcester",0
"William and Mary","William and Mary",0
"Clarkson","Clarkson",0
"Brigham Young","Brigham Young",0
"Fordham","Fordham",1
"Santa Clara","Santa Clara",0
"Portland State","Portland State",1
"Rollins","Rollins",0
"Northeastern","Northeastern",0
"Miami at Ohio","Miami at Ohio",0
"Bentley","Bentley",0
"Howard","Howard",2
"Rochester Inst. Tech.","Rochester Inst. Tech.",0
"Texas Christian","Texas Christian",0
"Abilene","Abilene",0
"Babson","Babson",0
"Pepperdine","Pepperdine",0
"Denver","Denver",0
"Wake Forest","Wake Forest",0
"Thunderbird","Thunderbird",0
"Pace","Pace",0
"Baylor","Baylor",0
"DePaul","DePaul",1
"Hofstra","Hofstra",0
"Harvard","Stanford",2
"Cornell","Stanford",1
"Northwestern","Stanford",1
"Michigan","Stanford",1
"Yale","Stanford",2
"Carnegie Mellon","Stanford",1
"UCLA","Stanford",1
"UT Austin","Stanford",1
"USC","Stanford",1
"Georgetown","Stanford",1
"Denver","Stanford",1
"Stanford","MIT",4
"Harvard","MIT",2
"UC Berkeley","MIT",2
"Chicago","MIT",3
"Northwestern","MIT",1
"Michigan","MIT",1
"Columbia","MIT",1
"Yale","MIT",1
"NYU","MIT",1
"Ohio State","MIT",1
"UNC","MIT",1
"Washington","MIT",1
"Stanford","Harvard",6
"MIT","Harvard",4
"Chicago","Harvard",1
"Northwestern","Harvard",3
"Michigan","Harvard",2
"Columbia","Harvard",3
"Yale","Harvard",1
"UPenn","Harvard",2
"Carnegie Mellon","Harvard",1
"UCLA","Harvard",2
"NYU","Harvard",2
"Purdue","Harvard",1
"Arizona","Harvard",1
"Stanford","UC Berkeley",4
"MIT","UC Berkeley",2
"Harvard","UC Berkeley",1
"Rochester","UC Berkeley",1
"Northwestern","UC Berkeley",1
"Michigan","UC Berkeley",1
"Yale","UC Berkeley",1
"UPenn","UC Berkeley",1
"UNC","UC Berkeley",1
"Washington","UC Berkeley",1
"Northeastern","UC Berkeley",1
"Stanford","Rochester",1
"Northwestern","Rochester",1
"NYU","Rochester",2
"Case Western","Rochester",1
"Tulane","Rochester",1
"Stanford","Chicago",2
"MIT","Chicago",2
"Harvard","Chicago",3
"Cornell","Chicago",2
"Michigan","Chicago",1
"Columbia","Chicago",1
"UPenn","Chicago",1
"Carnegie Mellon","Chicago",1
"Stanford","Cornell",1
"UC Berkeley","Cornell",1
"Chicago","Cornell",1
"Northwestern","Cornell",2
"Columbia","Cornell",1
"Illinois, Urb. Champ.","Cornell",1
"Duke","Cornell",1
"Stanford","Northwestern",6
"MIT","Northwestern",4
"Harvard","Northwestern",2
"UC Berkeley","Northwestern",1
"Chicago","Northwestern",1
"Cornell","Northwestern",1
"Michigan","Northwestern",1
"Yale","Northwestern",1
"UPenn","Northwestern",1
"NYU","Northwestern",1
"Illinois, Urb. Champ.","Northwestern",1
"Stanford","Michigan",3
"Harvard","Michigan",2
"UC Berkeley","Michigan",1
"Rochester","Michigan",2
"Chicago","Michigan",1
"Northwestern","Michigan",2
"Columbia","Michigan",1
"NYU","Michigan",2
"Illinois, Urb. Champ.","Michigan",1
"Duke","Michigan",1
"UNC","Michigan",1
"UT Austin","Michigan",1
"Stanford","Columbia",4
"MIT","Columbia",2
"Harvard","Columbia",3
"UC Berkeley","Columbia",1
"Chicago","Columbia",1
"Northwestern","Columbia",1
"Yale","Columbia",1
"Carnegie Mellon","Columbia",1
"NYU","Columbia",1
"USC","Columbia",1
"Dartmouth","Columbia",1
"Stanford","Yale",1
"MIT","Yale",3
"Harvard","Yale",3
"UC Berkeley","Yale",1
"Cornell","Yale",1
"Michigan","Yale",1
"Columbia","Yale",1
"NYU","Yale",1
"Stanford","UPenn",2
"MIT","UPenn",3
"Harvard","UPenn",7
"UC Berkeley","UPenn",3
"Chicago","UPenn",5
"Cornell","UPenn",2
"Northwestern","UPenn",1
"Michigan","UPenn",2
"Columbia","UPenn",3
"Yale","UPenn",1
"Carnegie Mellon","UPenn",1
"Wisconsin","UPenn",1
"UCLA","UPenn",2
"NYU","UPenn",1
"Minnesota","UPenn",1
"Illinois, Urb. Champ.","UPenn",1
"Duke","UPenn",2
"UNC","UPenn",1
"UT Austin","UPenn",2
"Boston College","UPenn",1
"Georgetown","UPenn",1
"Stanford","Carnegie Mellon",4
"Harvard","Carnegie Mellon",1
"UC Berkeley","Carnegie Mellon",1
"Northwestern","Carnegie Mellon",2
"Michigan","Carnegie Mellon",2
"Columbia","Carnegie Mellon",1
"Wisconsin","Carnegie Mellon",3
"UNC","Carnegie Mellon",1
"Florida","Carnegie Mellon",1
"Georgia Tech","Carnegie Mellon",1
"Northwestern","Wisconsin",1
"Michigan","Wisconsin",1
"Minnesota","Wisconsin",1
"Iowa","Wisconsin",1
"Indiana","Wisconsin",1
"TexasAM","Wisconsin",1
"UConn","Wisconsin",1
"Stanford","UCLA",2
"MIT","UCLA",2
"Harvard","UCLA",2
"UC Berkeley","UCLA",1
"Chicago","UCLA",2
"Northwestern","UCLA",1
"Michigan","UCLA",1
"Carnegie Mellon","UCLA",1
"Wisconsin","UCLA",1
"Maryland","UCLA",1
"Arizona State","UCLA",1
"Stanford","NYU",3
"MIT","NYU",1
"Harvard","NYU",2
"Chicago","NYU",2
"Northwestern","NYU",2
"Columbia","NYU",5
"UPenn","NYU",3
