school,in,out
"Stanford",16,81
"MIT",21,54
"Harvard",39,67
"UC Berkeley",17,43
"Rochester",6,16
"Chicago",15,44
"Cornell",8,34
"Northwestern",24,69
"Michigan",21,71
"Columbia",18,54
"Yale",14,24
"UPenn",44,50
"Carnegie Mellon",17,30
"Wisconsin",7,31
"UCLA",15,30
"NYU",24,53
"Minnesota",30,36
"Illinois, Urb. Champ.",19,42
"Duke",14,34
"Purdue",13,18
"Ohio State",19,38
"Iowa",17,18
"UNC",21,58
"Wash. U. in St. Louis",12,16
"Florida",10,31
"UT Austin",26,53
"Pittsburgh",14,18
"Penn State",12,29
"Washington",16,18
"Maryland",26,34
"Indiana",22,21
"Michigan State",22,38
"Georgia Tech",9,15
"Colorado, Boulder",9,17
"UC Irvine",16,8
"Arizona",22,12
"Utah",10,15
"Oregon",6,4
"USC",39,32
"SUNY Buffalo",10,6
"UT Dallas",14,8
"Virginia",15,6
"Boston",23,23
"UMass Amherst",16,8
"TexasAM",14,30
"Emory",13,10
"Case Western",12,10
"UC Davis",13,2
"Georgia",20,20
"Vanderbilt",5,5
"Syracuse",12,6
"Claremont",4,3
"Arizona State",31,24
"South Carolina",18,16
"Virginia Tech",22,21
"Florida State",16,13
"Oklahoma",11,11
"Tulane",11,7
"UConn",6,10
"Boston College",25,12
"Cincinnati",10,14
"Houston",24,11
"Rutgers",26,11
"Kansas",6,8
"Louisiana State",16,4
"Arkansas",16,7
"Tennessee",17,14
"Dartmouth",11,3
"Kentucky",16,7
"Rice",9,0
"SMU",8,1
"Temple",18,3
"George Washington",31,9
"Alabama",15,8
"Oklahoma State",11,6
"SUNY Binghamton",5,1
"Iowa State",11,4
"CUNY Baruch",25,8
"Hawaii",10,2
"Mississippi",6,1
"Missouri, St. Louis",8,0
"Georgetown",15,4
"Drexel",17,4
"Auburn",11,2
"Notre Dame",11,1
"NC State",14,1
"Miami",17,2
"Saint Louis",9,4
"Worcester",8,1
"William and Mary",13,0
"Clarkson",2,0
"Brigham Young",7,0
"Fordham",27,1
"Santa Clara",17,0
"Portland State",18,1
"Rollins",5,0
"Northeastern",22,1
"Miami at Ohio",16,0
"Bentley",42,0
"Howard",12,2
"Rochester Inst. Tech.",8,0
"Texas Christian",12,0
"Abilene",1,0
"Babson",24,0
"Pepperdine",10,0
"Denver",11,1
"Wake Forest",12,0
"Thunderbird",7,0
"Pace",20,1
"Baylor",17,0
"DePaul",25,1
"Hofstra",6,0
