has,prefers,count
"Stanford","Stanford",17
"MIT","MIT",21
"Harvard","Harvard",50
"UC Berkeley","UC Berkeley",2
"Rochester","Rochester",2
"Chicago","Chicago",10
"Cornell","Cornell",2
"Northwestern","Northwestern",6
"Michigan","Michigan",12
"Columbia","Columbia",8
"Yale","Yale",8
"UPenn","UPenn",7
"Carnegie Mellon","Carnegie Mellon",3
"Wisconsin","Wisconsin",7
"UCLA","UCLA",5
"NYU","NYU",8
"Minnesota","Minnesota",5
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",4
"Duke","Duke",4
"Purdue","Purdue",9
"Ohio State","Ohio State",7
"Iowa","Iowa",8
"UNC","UNC",5
"Wash. U. in St. Louis","Wash. U. in St. Louis",0
"Florida","Florida",3
"UT Austin","UT Austin",9
"Pittsburgh","Pittsburgh",2
"Penn State","Penn State",4
"Washington","Washington",1
"Maryland","Maryland",3
"Indiana","Indiana",10
"Michigan State","Michigan State",12
"Georgia Tech","Georgia Tech",3
"Colorado, Boulder","Colorado, Boulder",0
"UC Irvine","UC Irvine",0
"Arizona","Arizona",3
"Utah","Utah",0
"Oregon","Oregon",1
"USC","USC",13
"SUNY Buffalo","SUNY Buffalo",1
"UT Dallas","UT Dallas",2
"Virginia","Virginia",3
"Boston","Boston",3
"UMass Amherst","UMass Amherst",6
"TexasAM","TexasAM",3
"Emory","Emory",0
"Case Western","Case Western",7
"UC Davis","UC Davis",1
"Georgia","Georgia",2
"Vanderbilt","Vanderbilt",0
"Syracuse","Syracuse",2
"Claremont","Claremont",0
"Arizona State","Arizona State",4
"South Carolina","South Carolina",0
"Virginia Tech","Virginia Tech",3
"Florida State","Florida State",6
"Oklahoma","Oklahoma",4
"Tulane","Tulane",2
"UConn","UConn",2
"Boston College","Boston College",1
"Cincinnati","Cincinnati",3
"Houston","Houston",8
"Rutgers","Rutgers",1
"Kansas","Kansas",2
"Louisiana State","Louisiana State",3
"Arkansas","Arkansas",3
"Tennessee","Tennessee",5
"Dartmouth","Dartmouth",0
"Kentucky","Kentucky",6
"Rice","Rice",1
"SMU","SMU",0
"Temple","Temple",8
"George Washington","George Washington",8
"Alabama","Alabama",2
"Oklahoma State","Oklahoma State",6
"SUNY Binghamton","SUNY Binghamton",0
"Iowa State","Iowa State",0
"CUNY Baruch","CUNY Baruch",0
"Hawaii","Hawaii",0
"Mississippi","Mississippi",1
"Missouri, St. Louis","Missouri, St. Louis",0
"Georgetown","Georgetown",0
"Drexel","Drexel",2
"Auburn","Auburn",0
"Notre Dame","Notre Dame",3
"NC State","NC State",1
"Miami","Miami",0
"Saint Louis","Saint Louis",3
"Worcester","Worcester",0
"William and Mary","William and Mary",1
"Clarkson","Clarkson",0
"Brigham Young","Brigham Young",1
"Fordham","Fordham",0
"Santa Clara","Santa Clara",0
"Portland State","Portland State",0
"Rollins","Rollins",0
"Northeastern","Northeastern",0
"Miami at Ohio","Miami at Ohio",0
"Bentley","Bentley",0
"Howard","Howard",1
"Rochester Inst. Tech.","Rochester Inst. Tech.",0
"Texas Christian","Texas Christian",0
"Abilene","Abilene",0
"Babson","Babson",0
"Pepperdine","Pepperdine",0
"Denver","Denver",0
"Wake Forest","Wake Forest",0
"Thunderbird","Thunderbird",0
"Pace","Pace",0
"Baylor","Baylor",2
"DePaul","DePaul",1
"Hofstra","Hofstra",2
"MIT","Stanford",10
"Harvard","Stanford",7
"UC Berkeley","Stanford",6
"Rochester","Stanford",3
"Chicago","Stanford",2
"Cornell","Stanford",1
"Northwestern","Stanford",3
"Michigan","Stanford",1
"Columbia","Stanford",1
"Yale","Stanford",4
"UPenn","Stanford",2
"Carnegie Mellon","Stanford",2
"Wisconsin","Stanford",1
"UCLA","Stanford",4
"NYU","Stanford",1
"Minnesota","Stanford",1
"Duke","Stanford",4
"Ohio State","Stanford",2
