school,in,out
"Stanford",76,331
"MIT",79,310
"Harvard",138,277
"UC Berkeley",54,178
"Rochester",29,101
"Chicago",95,220
"Cornell",40,136
"Northwestern",103,179
"Michigan",84,211
"Columbia",90,131
"Yale",50,97
"UPenn",152,229
"Carnegie Mellon",55,119
"Wisconsin",53,121
"UCLA",71,108
"NYU",122,162
"Minnesota",75,133
"Illinois, Urb. Champ.",67,166
"Duke",68,80
"Purdue",59,147
"Ohio State",64,141
"Iowa",52,86
"UNC",78,107
"Wash. U. in St. Louis",49,50
"Florida",57,86
"UT Austin",89,157
"Pittsburgh",45,73
"Penn State",59,116
"Washington",64,64
"Maryland",71,66
"Indiana",73,152
"Michigan State",78,127
"Georgia Tech",45,40
"Colorado, Boulder",42,36
"UC Irvine",25,21
"Arizona",55,66
"Utah",18,21
"Oregon",38,28
"USC",114,57
"SUNY Buffalo",40,48
"UT Dallas",58,18
"Virginia",44,28
"Boston",69,33
"UMass Amherst",44,46
"TexasAM",61,92
"Emory",50,15
"Case Western",39,33
"UC Davis",17,5
"Georgia",66,72
"Vanderbilt",33,6
"Syracuse",40,31
"Claremont",13,7
"Arizona State",96,61
"South Carolina",62,40
"Virginia Tech",65,49
"Florida State",40,49
"Oklahoma",38,21
"Tulane",19,11
"UConn",60,22
"Boston College",47,27
"Cincinnati",46,28
"Houston",61,37
"Rutgers",74,28
"Kansas",38,19
"Louisiana State",37,29
"Arkansas",48,27
"Tennessee",59,43
"Dartmouth",36,0
"Kentucky",63,27
"Rice",33,7
"SMU",47,9
"Temple",78,19
"George Washington",71,25
"Alabama",64,22
"Oklahoma State",57,26
"SUNY Binghamton",25,8
"Iowa State",51,11
"CUNY Baruch",78,23
"Hawaii",35,2
"Mississippi",24,7
"Missouri, St. Louis",28,2
"Georgetown",48,1
"Drexel",55,5
"Auburn",43,6
"Notre Dame",67,7
"NC State",53,10
"Miami",56,1
"Saint Louis",27,7
"Worcester",8,0
"William and Mary",29,1
"Clarkson",15,0
"Brigham Young",92,2
"Fordham",53,5
"Santa Clara",51,1
"Portland State",21,0
"Rollins",12,0
"Northeastern",69,3
"Miami at Ohio",63,1
"Bentley",105,1
"Howard",20,1
"Rochester Inst. Tech.",19,0
"Texas Christian",41,0
"Abilene",13,0
"Babson",55,0
"Pepperdine",43,0
"Denver",35,0
"Wake Forest",36,0
"Thunderbird",24,0
"Pace",44,0
"Baylor",59,2
"DePaul",67,1
"Hofstra",47,2
