school,in,out
"Stanford",92,412
"MIT",100,364
"Harvard",177,344
"UC Berkeley",71,221
"Rochester",35,117
"Chicago",110,264
"Cornell",48,170
"Northwestern",127,248
"Michigan",105,282
"Columbia",108,185
"Yale",64,121
"UPenn",196,279
"Carnegie Mellon",72,149
"Wisconsin",60,152
"UCLA",86,138
"NYU",146,215
"Minnesota",105,169
"Illinois, Urb. Champ.",86,208
"Duke",82,114
"Purdue",72,165
"Ohio State",83,179
"Iowa",69,104
"UNC",99,165
"Wash. U. in St. Louis",61,66
"Florida",67,117
"UT Austin",115,210
"Pittsburgh",59,91
"Penn State",71,145
"Washington",80,82
"Maryland",97,100
"Indiana",95,173
"Michigan State",100,165
"Georgia Tech",54,55
"Colorado, Boulder",51,53
"UC Irvine",41,29
"Arizona",77,78
"Utah",28,36
"Oregon",44,32
"USC",153,89
"SUNY Buffalo",50,54
"UT Dallas",72,26
"Virginia",59,34
"Boston",92,56
"UMass Amherst",60,54
"TexasAM",75,122
"Emory",63,25
"Case Western",51,43
"UC Davis",30,7
"Georgia",86,92
"Vanderbilt",38,11
"Syracuse",52,37
"Claremont",17,10
"Arizona State",127,85
"South Carolina",80,56
"Virginia Tech",87,70
"Florida State",56,62
"Lower 56 Universities",3375,726
