school,in,out
"Stanford",76,331
"MIT",79,310
"Harvard",138,277
"UC Berkeley",54,178
"Rochester",29,101
"Chicago",95,220
"Cornell",40,136
"Northwestern",103,179
"Michigan",84,211
"Columbia",90,131
"Yale",50,97
"UPenn",152,229
"Carnegie Mellon",55,119
"Wisconsin",53,121
"UCLA",71,108
"NYU",122,162
"Minnesota",75,133
"Illinois, Urb. Champ.",67,166
"Duke",68,80
"Purdue",59,147
"Ohio State",64,141
"Iowa",52,86
"UNC",78,107
"Wash. U. in St. Louis",49,50
"Florida",57,86
"UT Austin",89,157
"Pittsburgh",45,73
"Penn State",59,116
"Washington",64,64
"Maryland",71,66
"Indiana",73,152
"Michigan State",78,127
"Georgia Tech",45,40
"Colorado, Boulder",42,36
"UC Irvine",25,21
"Arizona",55,66
"Utah",18,21
"Oregon",38,28
"USC",114,57
"SUNY Buffalo",40,48
"UT Dallas",58,18
"Virginia",44,28
"Boston",69,33
"UMass Amherst",44,46
"TexasAM",61,92
"Emory",50,15
"Case Western",39,33
"UC Davis",17,5
"Georgia",66,72
"Vanderbilt",33,6
"Syracuse",40,31
"Claremont",13,7
"Arizona State",96,61
"South Carolina",62,40
"Virginia Tech",65,49
"Florida State",40,49
"Lower 56 Universities",2587,537
