has,prefers,count
"Stanford","Stanford",9
"UC Berkeley","UC Berkeley",7
"MIT","MIT",27
"Caltech","Caltech",2
"Harvard","Harvard",2
"Cornell","Cornell",3
"Carnegie Mellon","Carnegie Mellon",23
"Princeton","Princeton",2
"Yale","Yale",0
"Washington","Washington",2
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",3
"Wisconsin, Madison","Wisconsin, Madison",1
"UPenn","UPenn",1
"Rice","Rice",2
"UCLA","UCLA",4
"NYU","NYU",1
"Chicago","Chicago",0
"UT, Austin","UT, Austin",2
"Brown","Brown",1
"Columbia","Columbia",1
"Toronto","Toronto",17
"Rochester","Rochester",2
"Southern California","Southern California",3
"Johns Hopkins","Johns Hopkins",0
"UMass, Amherst","UMass, Amherst",2
"Lower 180 Universities","Lower 180 Universities",1977
"UC Berkeley","Stanford",8
"MIT","Stanford",8
"Caltech","Stanford",3
"Harvard","Stanford",2
"Cornell","Stanford",3
"Carnegie Mellon","Stanford",5
"Princeton","Stanford",1
"Yale","Stanford",1
"Wisconsin, Madison","Stanford",1
"UCLA","Stanford",2
"Lower 180 Universities","Stanford",4
"Stanford","UC Berkeley",9
"MIT","UC Berkeley",8
"Caltech","UC Berkeley",1
"Harvard","UC Berkeley",2
"Carnegie Mellon","UC Berkeley",5
"Princeton","UC Berkeley",1
"Washington","UC Berkeley",1
"Illinois, Urb. Champ.","UC Berkeley",1
"Wisconsin, Madison","UC Berkeley",2
"UCLA","UC Berkeley",1
"Chicago","UC Berkeley",1
"Lower 180 Universities","UC Berkeley",4
"Stanford","MIT",14
"UC Berkeley","MIT",12
"Caltech","MIT",2
"Harvard","MIT",3
"Cornell","MIT",1
"Carnegie Mellon","MIT",2
"Princeton","MIT",1
"Rice","MIT",1
"Columbia","MIT",1
"Toronto","MIT",1
"Lower 180 Universities","MIT",2
"UC Berkeley","Caltech",2
"MIT","Caltech",4
"Carnegie Mellon","Caltech",3
"Princeton","Caltech",1
"Lower 180 Universities","Caltech",1
"Stanford","Harvard",2
"UC Berkeley","Harvard",3
"MIT","Harvard",2
"Cornell","Harvard",1
"Carnegie Mellon","Harvard",2
"Princeton","Harvard",3
"Washington","Harvard",1
"UPenn","Harvard",1
"UMass, Amherst","Harvard",1
"Lower 180 Universities","Harvard",2
"Stanford","Cornell",7
"UC Berkeley","Cornell",5
"MIT","Cornell",8
"Caltech","Cornell",3
"Harvard","Cornell",2
"Carnegie Mellon","Cornell",1
"Washington","Cornell",2
"Illinois, Urb. Champ.","Cornell",2
"Wisconsin, Madison","Cornell",2
"UPenn","Cornell",2
"Chicago","Cornell",1
"Toronto","Cornell",1
"Southern California","Cornell",1
"UMass, Amherst","Cornell",2
"Lower 180 Universities","Cornell",5
"Stanford","Carnegie Mellon",11
"UC Berkeley","Carnegie Mellon",15
"MIT","Carnegie Mellon",17
"Caltech","Carnegie Mellon",2
"Harvard","Carnegie Mellon",4
"Cornell","Carnegie Mellon",3
"Princeton","Carnegie Mellon",1
"Yale","Carnegie Mellon",4
"Washington","Carnegie Mellon",2
"Wisconsin, Madison","Carnegie Mellon",1
"UCLA","Carnegie Mellon",1
"Chicago","Carnegie Mellon",3
"UT, Austin","Carnegie Mellon",1
"Brown","Carnegie Mellon",1
"Columbia","Carnegie Mellon",3
"Toronto","Carnegie Mellon",3
"Johns Hopkins","Carnegie Mellon",1
"UMass, Amherst","Carnegie Mellon",2
"Lower 180 Universities","Carnegie Mellon",18
"Stanford","Princeton",7
"UC Berkeley","Princeton",3
"MIT","Princeton",3
"Harvard","Princeton",1
"Cornell","Princeton",1
"Carnegie Mellon","Princeton",2
"Yale","Princeton",2
"Washington","Princeton",2
"Illinois, Urb. Champ.","Princeton",1
"Rice","Princeton",1
"Toronto","Princeton",1
"Lower 180 Universities","Princeton",2
"Stanford","Yale",2
"UC Berkeley","Yale",1
"MIT","Yale",5
"Harvard","Yale",2
"Cornell","Yale",2
"Carnegie Mellon","Yale",1
"Princeton","Yale",1
"Rice","Yale",1
"UT, Austin","Yale",1
"Lower 180 Universities","Yale",4
"Stanford","Washington",5
"UC Berkeley","Washington",7
"MIT","Washington",7
"Caltech","Washington",1
