school,in,out
"Stanford",47,189
"UC Berkeley",43,204
"MIT",67,299
"Caltech",13,40
"Harvard",20,68
"Cornell",47,113
"Carnegie Mellon",116,166
"Princeton",28,82
"Yale",20,47
"Washington",45,76
"Illinois, Urb. Champ.",46,164
"Wisconsin, Madison",36,87
"UPenn",29,84
"Rice",17,42
"UCLA",35,64
"NYU",23,28
"Chicago",18,28
"UT, Austin",41,94
"Brown",21,53
"Columbia",35,47
"Toronto",50,145
"Rochester",22,33
"Southern California",27,49
"Johns Hopkins",15,19
"UMass, Amherst",39,80
"Lower 180 Universities",3488,2087
