school,in,out
"Stanford",5,31
"UC Berkeley",3,24
"MIT",12,51
"Caltech",2,1
"Harvard",4,12
"Cornell",6,17
"Carnegie Mellon",22,28
"Princeton",6,9
"Yale",3,4
"Washington",7,12
"Illinois, Urb. Champ.",4,23
"Wisconsin, Madison",6,9
"UPenn",4,19
"Rice",2,7
"UCLA",2,14
"NYU",3,3
"Chicago",2,4
"UT, Austin",6,3
"Brown",2,6
"Columbia",5,10
"Toronto",10,21
"Rochester",2,2
"Southern California",2,4
"Johns Hopkins",2,2
"UMass, Amherst",5,10
"UC San Diego",5,5
"Maryland, College Park",2,10
"Michigan",4,10
"UNC",4,8
"Duke",3,4
"SUNY Stony Brook",5,3
"UC Irvine",8,8
"Dartmouth",1,0
"Virginia",3,4
"Purdue",5,20
"Minnesota, Minneapolis",2,11
"Georgia Tech",16,12
"Rutgers",3,8
"Arizona",0,1
"Penn. State",5,9
"Ohio State",1,4
"Northwestern",2,4
"Wash. U. St. Louis",3,6
"Pittsburgh",4,5
"Boston Univ.",2,0
"British Columbia",7,9
"Oregon",1,0
"Syracuse",1,6
"UC Santa Barbara",4,3
"Utah",4,2
"UC Davis",3,1
"Texas A&M",8,5
"Houston",2,3
"Michigan State",7,1
"Waterloo",9,12
"Colorado, Boulder",7,4
"McGill",7,1
"CUNY Graduate Center",1,0
"Case Western",1,4
"UC Riverside",1,3
"Kansas",2,4
"Florida State",0,0
"William and Mary",4,4
"Lehigh",2,1
"Montreal",0,2
"Simon Fraser",4,4
"Illinois, Chicago",4,1
"Cincinnati",1,0
"UC Santa Cruz",2,1
"Rensselaer Polytech.",5,4
"Southern Methodist",4,1
"Central Florida",4,2
"New Mexico",3,2
"NC State",8,6
"SUNY Buffalo",3,5
"Stevens Inst. Tech.",1,0
"Washington State, Pullman",2,1
"McMaster",0,0
"Brandeis",2,1
"Alberta",4,2
"George Washington",6,2
"Poly. Inst. of NYU",4,1
"Iowa",2,2
"Delaware",5,3
"Iowa State",4,2
"Vanderbilt",2,5
"Florida",4,1
"George Mason",10,3
"Notre Dame",3,0
"Wayne State",1,2
"Calgary",6,2
"Louisiana, Lafayette",2,2
"Western Ontario",3,1
"Carleton",1,1
"Queens",7,0
"Wisconsin, Milwaukee",3,1
"Louisiana State",1,3
"Texas, Arlington",2,1
"Ottawa",6,3
"UConn",4,1
"Oregon Hlth & Sci",0,0
"Arizona State",4,1
"Kansas State",1,0
"SUNY Albany",2,1
"South Florida",1,1
"Virginia Tech",4,3
"Portland State",5,0
"South Carolina",4,0
"Missouri Sci. & Tech.",3,1
"Oklahoma",3,0
"Indiana",10,7
"Illinois Inst. Tech.",2,2
"Tennessee, Knoxville",3,0
"Miami",0,0
"New Jersey Inst. Tech.",1,1
"Kentucky",3,1
"SUNY Binghamton",1,2
"Colorado State",4,2
"Colorado, Denver",2,1
"Texas, Dallas",6,2
"Rhode Island",2,1
"Toyota Tech. Chicago",1,0
"Auburn",1,2
"Drexel",3,0
"Oregon State",4,0
"Manitoba",3,1
"Regina",0,1
"Nebraska, Lincoln",2,1
"Saskatchewan",1,0
"Florida Atlantic",3,1
"Texas, San Antonio",3,0
"Denver",1,0
"Maryland, Balt. County",4,0
"Oakland (Michigan)",0,1
"Maine",0,0
"Clarkson",1,0
"New Mexico State",2,2
"Memphis",1,0
"Victoria",8,2
"Concordia, Montreal",4,1
"Missouri, Kansas City",2,0
"Missouri, Columbia",3,1
"Dalhousie",4,2
"Virginia Commonwealth",0,0
"Worcester Poly.",4,1
"Old Dominion",1,0
"Texas, El Paso",1,0
"Naval Postgrad. Sch.",2,0
"UMass, Boston",2,0
"Wyoming",1,0
"York",6,0
"Georgia",3,1
"Mississippi State",4,1
"Tufts",6,0
"Florida Intl",2,3
"Southern Ill., Carbondale",1,0
"Ohio",1,0
"Claremont Graduate",1,0
"Catholic Univ. America",2,0
"Clemson",3,0
"UMass, Lowell",3,0
"Oklahoma State",1,0
"UNC, Charlotte",7,1
"Alabama, Birmingham",1,0
"Santa Clara",4,0
"Hawaii, Manoa",8,3
"Temple",1,1
"Toledo",1,0
"Michigan Tech.",4,0
"New Hampshire",1,0
"Montana State",0,0
"New Brunswick",3,1
"Wright State",1,0
"Western Michigan",1,1
"Northeastern",8,0
"Alabama, Huntsville",3,3
"Idaho, Moscow",0,0
"Texas Tech",2,0
"Tulsa",1,0
"Mississippi",1,0
"Brigham Young",0,0
"Long Island",1,0
"Southern Mississippi",4,0
"Colorado, Colorado Springs",0,0
"Colorado School of Mines",3,0
"Georgia State",1,0
"Nevada, Las Vegas",1,0
"Kent State",2,1
"Memorial Newfoundland",1,0
"Utah State",3,0
"DePaul",11,3
"North Dakota State",3,0
"Nova Southeastern",6,4
"Arkansas, Fayetteville",1,0
"Bridgeport",1,0
"Louisville",1,0
"Nebraska, Omaha",2,0
"Florida Inst. Tech.",1,1
"Arkansas, Little Rock",0,0
"Rochester Inst. Tech.",4,1
"Pace",1,0
"New Mexico Inst. Min. Tech.",1,0
"Nevada, Reno",1,0
"Alabama, Tuscaloosa",3,0
"North Texas, Denton",2,0
