school,in,out
"Stanford",47,189
"UC Berkeley",43,204
"MIT",67,299
"Caltech",13,40
"Harvard",20,68
"Cornell",47,113
"Carnegie Mellon",116,166
"Princeton",28,82
"Yale",20,47
"Washington",45,76
"Illinois, Urb. Champ.",46,164
"Wisconsin, Madison",36,87
"UPenn",29,84
"Rice",17,42
"UCLA",35,64
"NYU",23,28
"Chicago",18,28
"UT, Austin",41,94
"Brown",21,53
"Columbia",35,47
"Toronto",50,145
"Rochester",22,33
"Southern California",27,49
"Johns Hopkins",15,19
"UMass, Amherst",39,80
"UC San Diego",44,38
"Maryland, College Park",46,80
"Michigan",53,64
"UNC",27,40
"Duke",21,21
"SUNY Stony Brook",31,46
"UC Irvine",36,37
"Dartmouth",16,9
"Virginia",22,33
"Purdue",39,99
"Minnesota, Minneapolis",34,63
"Georgia Tech",77,72
"Rutgers",30,33
"Arizona",11,22
"Penn. State",33,47
"Ohio State",31,68
"Northwestern",34,34
"Wash. U. St. Louis",22,22
"Pittsburgh",20,37
"Boston Univ.",16,11
"British Columbia",36,49
"Oregon",14,8
"Syracuse",14,24
"UC Santa Barbara",28,22
"Utah",31,31
"UC Davis",28,17
"Texas A&M",31,31
"Houston",18,5
"Michigan State",31,22
"Waterloo",63,64
"Colorado, Boulder",27,17
"McGill",36,28
"CUNY Graduate Center",2,4
"Case Western",13,17
"UC Riverside",21,6
"Kansas",16,13
"Florida State",13,6
"William and Mary",13,12
"Lehigh",14,5
"Montreal",25,22
"Simon Fraser",32,17
"Illinois, Chicago",23,12
"Cincinnati",5,10
"UC Santa Cruz",24,8
"Rensselaer Polytech.",28,16
"Southern Methodist",12,11
"Central Florida",25,18
"New Mexico",17,10
"NC State",37,26
"SUNY Buffalo",27,21
"Stevens Inst. Tech.",10,7
"Washington State, Pullman",17,9
"McMaster",12,4
"Brandeis",11,3
"Alberta",38,22
"George Washington",19,10
"Poly. Inst. of NYU",16,10
"Iowa",15,14
"Delaware",21,6
"Iowa State",23,20
"Vanderbilt",16,12
"Florida",33,10
"George Mason",38,14
"Notre Dame",18,11
"Wayne State",20,19
"Calgary",24,13
"Louisiana, Lafayette",12,13
"Western Ontario",18,14
"Carleton",22,14
"Queens",26,12
"Wisconsin, Milwaukee",14,4
"Louisiana State",13,12
"Texas, Arlington",26,8
"Ottawa",22,11
"UConn",20,5
"Oregon Hlth & Sci",11,4
"Arizona State",38,11
"Lower 103 Universities",1588,367
