school,in,out
"Stanford",5,31
"UC Berkeley",3,24
"MIT",12,51
"Caltech",2,1
"Harvard",4,12
"Cornell",6,17
"Carnegie Mellon",22,28
"Princeton",6,9
"Yale",3,4
"Washington",7,12
"Illinois, Urb. Champ.",4,23
"Wisconsin, Madison",6,9
"UPenn",4,19
"Rice",2,7
"UCLA",2,14
"NYU",3,3
"Chicago",2,4
"UT, Austin",6,3
"Brown",2,6
"Columbia",5,10
"Toronto",10,21
"Rochester",2,2
"Southern California",2,4
"Johns Hopkins",2,2
"UMass, Amherst",5,10
"UC San Diego",5,5
"Maryland, College Park",2,10
"Michigan",4,10
"UNC",4,8
"Duke",3,4
"SUNY Stony Brook",5,3
"UC Irvine",8,8
"Dartmouth",1,0
"Virginia",3,4
"Purdue",5,20
"Minnesota, Minneapolis",2,11
"Georgia Tech",16,12
"Rutgers",3,8
"Arizona",0,1
"Penn. State",5,9
"Ohio State",1,4
"Northwestern",2,4
"Wash. U. St. Louis",3,6
"Pittsburgh",4,5
"Boston Univ.",2,0
"British Columbia",7,9
"Oregon",1,0
"Syracuse",1,6
"UC Santa Barbara",4,3
"Utah",4,2
"UC Davis",3,1
"Texas A&M",8,5
"Houston",2,3
"Michigan State",7,1
"Waterloo",9,12
"Colorado, Boulder",7,4
"McGill",7,1
"CUNY Graduate Center",1,0
"Case Western",1,4
"UC Riverside",1,3
"Kansas",2,4
"Florida State",0,0
"William and Mary",4,4
"Lehigh",2,1
"Montreal",0,2
"Simon Fraser",4,4
"Illinois, Chicago",4,1
"Cincinnati",1,0
"UC Santa Cruz",2,1
"Rensselaer Polytech.",5,4
"Southern Methodist",4,1
"Central Florida",4,2
"New Mexico",3,2
"NC State",8,6
"SUNY Buffalo",3,5
"Stevens Inst. Tech.",1,0
"Washington State, Pullman",2,1
"McMaster",0,0
"Brandeis",2,1
"Alberta",4,2
"George Washington",6,2
"Poly. Inst. of NYU",4,1
"Iowa",2,2
"Delaware",5,3
"Iowa State",4,2
"Vanderbilt",2,5
"Florida",4,1
"George Mason",10,3
"Notre Dame",3,0
"Wayne State",1,2
"Calgary",6,2
"Louisiana, Lafayette",2,2
"Western Ontario",3,1
"Carleton",1,1
"Queens",7,0
"Wisconsin, Milwaukee",3,1
"Louisiana State",1,3
"Texas, Arlington",2,1
"Ottawa",6,3
"UConn",4,1
"Oregon Hlth & Sci",0,0
"Arizona State",4,1
"Lower 103 Universities",253,66
