has,prefers,count
"Harvard","Harvard",9
"Yale","Yale",8
"UC Berkeley","UC Berkeley",8
"Princeton","Princeton",6
"Stanford","Stanford",3
"Chicago","Chicago",7
"Columbia","Columbia",14
"Brandeis","Brandeis",0
"Johns Hopkins","Johns Hopkins",3
"UPenn","UPenn",3
"Wisconsin, Madison","Wisconsin, Madison",2
"Michigan","Michigan",3
"UCLA","UCLA",8
"Northwestern","Northwestern",1
"Cornell","Cornell",2
"Brown","Brown",0
"UC Davis","UC Davis",0
"Rochester","Rochester",0
"NYU","NYU",1
"UC San Diego","UC San Diego",0
"Duke","Duke",2
"Minnesota","Minnesota",2
"Rutgers","Rutgers",1
"UNC","UNC",3
"Virginia","Virginia",1
"USC","USC",0
"Washington","Washington",2
"MIT","MIT",0
"UT Austin","UT Austin",4
"Emory","Emory",0
"Indiana","Indiana",0
"SUNY Stony Brook","SUNY Stony Brook",0
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",2
"Wash. U. St. Louis","Wash. U. St. Louis",0
"UC Riverside","UC Riverside",0
"Michigan State","Michigan State",1
"UC Irvine","UC Irvine",0
"UC Santa Barbara","UC Santa Barbara",2
"SUNY Binghamton","SUNY Binghamton",0
"Georgetown","Georgetown",1
"Arizona","Arizona",1
"Maryland","Maryland",0
"Catholic Univ. America","Catholic Univ. America",0
"Florida","Florida",0
"Carnegie Mellon","Carnegie Mellon",0
"Pittsburgh","Pittsburgh",1
"Tufts","Tufts",0
"Notre Dame","Notre Dame",2
"Rice","Rice",0
"SUNY Buffalo","SUNY Buffalo",0
"UC Santa Cruz","UC Santa Cruz",0
"Boston Univ.","Boston Univ.",2
"Vanderbilt","Vanderbilt",0
"George Washington","George Washington",2
"UConn","UConn",1
"New Mexico","New Mexico",3
"Ohio State","Ohio State",6
"Georgia","Georgia",2
"Iowa","Iowa",1
"UMass Amherst","UMass Amherst",0
"Northern Illinois","Northern Illinois",0
"Miami","Miami",0
"Boston College","Boston College",1
"Illinois, Chicago","Illinois, Chicago",0
"Temple","Temple",0
"Claremont","Claremont",0
"LSU","LSU",0
"Kansas","Kansas",0
"Hawaii","Hawaii",3
"Case Western","Case Western",1
"Tulane","Tulane",1
"Wayne State","Wayne State",0
"Florida State","Florida State",3
"Drew","Drew",1
"Penn. State","Penn. State",1
"Princeton Theological Seminary","Princeton Theological Seminary",1
"William and Mary","William and Mary",0
"Cincinnati","Cincinnati",0
"Florida International","Florida International",0
"Tennessee","Tennessee",0
"Colorado","Colorado",0
"Ohio","Ohio",0
