school,in,out
"Harvard",18,219
"Yale",35,184
"UC Berkeley",28,160
"Princeton",32,121
"Stanford",31,102
"Chicago",26,156
"Columbia",51,145
"Brandeis",9,30
"Johns Hopkins",19,74
"UPenn",21,74
"Wisconsin, Madison",26,127
"Michigan",55,96
"UCLA",47,103
"Northwestern",31,36
"Cornell",22,44
"Brown",17,40
"UC Davis",18,13
"Rochester",13,13
"NYU",26,32
"UC San Diego",25,20
"Duke",25,32
"Minnesota",20,27
"Rutgers",34,28
"UNC",33,39
"Virginia",37,50
"USC",16,7
"Washington",26,19
"MIT",9,9
"UT Austin",38,42
"Emory",19,18
"Indiana",26,34
"SUNY Stony Brook",16,6
"Illinois, Urb. Champ.",37,26
"Wash. U. St. Louis",11,5
"UC Riverside",15,7
"Michigan State",21,21
"UC Irvine",14,8
"UC Santa Barbara",20,11
"SUNY Binghamton",15,4
"Georgetown",24,14
"Arizona",15,11
"Maryland",23,10
"Catholic Univ. America",10,1
"Florida",20,10
"Carnegie Mellon",11,2
"Pittsburgh",13,14
"Tufts",12,5
"Notre Dame",26,15
"Rice",15,9
"SUNY Buffalo",13,3
"UC Santa Cruz",11,3
"Boston Univ.",26,8
"Vanderbilt",26,9
"George Washington",27,5
"UConn",17,9
"New Mexico",11,7
"Ohio State",38,26
"Georgia",20,10
"Iowa",15,10
"UMass Amherst",16,4
"Northern Illinois",13,5
"Miami",15,2
"Boston College",23,9
"Illinois, Chicago",16,7
"Temple",20,7
"Claremont",3,1
"LSU",14,7
"Kansas",18,10
"Hawaii",20,7
"Case Western",10,6
"Tulane",13,4
"Wayne State",13,2
"Florida State",18,2
"Drew",3,1
"Penn. State",22,6
"Princeton Theological Seminary",5,2
"William and Mary",21,4
"Cincinnati",12,2
"Florida International",6,2
"Tennessee",11,1
"Colorado",21,2
"Ohio",14,3
"Delaware",23,3
"Oregon",19,4
"Kentucky",20,2
"Toledo",4,5
"American",10,2
"Georgia State",17,2
"Arizona State",17,3
"Missouri, Columbia",18,8
"Utah",15,5
"New Hampshire",8,0
"SUNY Albany",14,1
"CUNY Graduate Center",40,5
"Clark",5,1
"Houston",22,8
"Syracuse",15,3
"Marquette",15,2
"Kent State",13,7
"Bowling Green State",5,3
"Maine",11,1
"Mississippi",20,2
"Washington State, Pullman",11,0
"Miami at Ohio",18,1
"Kansas State",13,2
"Oklahoma",23,5
"Howard",6,4
"Missouri, Kansas City",9,0
"Nebraska, Lincoln",14,6
"Jewish Theol. Sem. of America",25,8
"Saint Johns",8,1
"Northeastern",9,1
"Texas Christian",13,5
"Auburn",17,2
"Iowa State",11,1
"Graduate Theol. Union",6,3
"Lehigh",13,1
"Purdue",18,1
"South Carolina",16,3
"North Texas, Denton",22,1
"Loyola Chicago",18,1
"Texas A&M",36,3
"Arkansas, Fayetteville",16,0
"Northern Arizona",8,2
"West Virginia",12,3
"Fordham",18,0
"Alabama, Tuscaloosa",15,1
"Southern Mississippi",13,0
"Akron",8,0
"Texas, Dallas",12,0
"Nevada, Reno",8,0
"Illinois State",13,2
"Southern Illinois, Carbondale",8,1
"Southern Baptist Theol. Sem.",18,11
"Western Michigan",15,0
"Saint Louis",14,1
"Texas, Arlington",16,0
"Idaho, Moscow",4,0
"Texas Tech",19,0
"Memphis",11,0
"Mississippi State",11,0
"George Mason",27,0
"Oklahoma State",13,1
"Middle Tennessee State",19,0
