school,in,out
"Harvard",35,324
"Yale",48,307
"UC Berkeley",42,246
"Princeton",49,184
"Stanford",42,172
"Chicago",39,240
"Columbia",81,253
"Brandeis",12,43
"Johns Hopkins",26,108
"UPenn",39,128
"Wisconsin, Madison",44,180
"Michigan",90,173
"UCLA",61,162
"Northwestern",46,62
"Cornell",33,74
"Brown",31,58
"UC Davis",30,25
"Rochester",15,20
"NYU",45,62
"UC San Diego",38,35
"Duke",42,49
"Minnesota",44,52
"Rutgers",66,61
"UNC",46,66
"Virginia",48,69
"USC",30,10
"Washington",40,25
"MIT",16,10
"UT Austin",59,61
"Emory",30,30
"Indiana",41,55
"SUNY Stony Brook",29,14
"Illinois, Urb. Champ.",52,43
"Wash. U. St. Louis",25,11
"UC Riverside",28,15
"Michigan State",38,26
"UC Irvine",29,15
"UC Santa Barbara",40,29
"SUNY Binghamton",27,9
"Georgetown",36,18
"Arizona",27,20
"Maryland",37,18
"Catholic Univ. America",16,2
"Florida",36,13
"Carnegie Mellon",17,5
"Pittsburgh",21,17
"Tufts",18,8
"Notre Dame",34,21
"Rice",25,11
"SUNY Buffalo",22,5
"UC Santa Cruz",24,4
"Boston Univ.",38,13
"Vanderbilt",34,10
"George Washington",42,10
"UConn",29,12
"New Mexico",25,13
"Ohio State",62,41
"Georgia",29,13
"Iowa",27,18
"UMass Amherst",32,9
"Northern Illinois",24,7
"Miami",22,4
"Boston College",33,12
"Illinois, Chicago",29,12
"Temple",30,8
"Claremont",6,2
"LSU",23,7
"Kansas",32,13
"Hawaii",29,7
"Case Western",16,8
"Tulane",20,9
"Wayne State",21,2
"Lower 72 Universities",1620,234
