has,prefers,count
"Harvard","Harvard",4
"Yale","Yale",2
"UC Berkeley","UC Berkeley",2
"Princeton","Princeton",2
"Stanford","Stanford",0
"Chicago","Chicago",1
"Columbia","Columbia",8
"Brandeis","Brandeis",0
"Johns Hopkins","Johns Hopkins",1
"UPenn","UPenn",0
"Wisconsin, Madison","Wisconsin, Madison",0
"Michigan","Michigan",1
"UCLA","UCLA",3
"Northwestern","Northwestern",0
"Cornell","Cornell",1
"Brown","Brown",0
"UC Davis","UC Davis",0
"Rochester","Rochester",0
"NYU","NYU",0
"UC San Diego","UC San Diego",0
"Duke","Duke",0
"Minnesota","Minnesota",1
"Rutgers","Rutgers",1
"UNC","UNC",1
"Virginia","Virginia",0
"USC","USC",0
"Washington","Washington",1
"MIT","MIT",0
"UT Austin","UT Austin",0
"Emory","Emory",0
"Indiana","Indiana",0
"SUNY Stony Brook","SUNY Stony Brook",0
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",1
"Wash. U. St. Louis","Wash. U. St. Louis",0
"UC Riverside","UC Riverside",0
"Michigan State","Michigan State",0
"UC Irvine","UC Irvine",0
"UC Santa Barbara","UC Santa Barbara",2
"SUNY Binghamton","SUNY Binghamton",0
"Georgetown","Georgetown",0
"Arizona","Arizona",1
"Maryland","Maryland",0
"Catholic Univ. America","Catholic Univ. America",0
"Florida","Florida",0
"Carnegie Mellon","Carnegie Mellon",0
"Pittsburgh","Pittsburgh",0
"Tufts","Tufts",0
"Notre Dame","Notre Dame",0
"Rice","Rice",0
"SUNY Buffalo","SUNY Buffalo",0
"UC Santa Cruz","UC Santa Cruz",0
"Boston Univ.","Boston Univ.",2
"Vanderbilt","Vanderbilt",0
"George Washington","George Washington",1
"UConn","UConn",1
"New Mexico","New Mexico",2
"Ohio State","Ohio State",3
"Georgia","Georgia",1
"Iowa","Iowa",0
"UMass Amherst","UMass Amherst",0
"Northern Illinois","Northern Illinois",0
"Miami","Miami",0
"Boston College","Boston College",0
"Illinois, Chicago","Illinois, Chicago",0
"Temple","Temple",0
"Claremont","Claremont",0
"LSU","LSU",0
"Kansas","Kansas",0
"Hawaii","Hawaii",0
"Case Western","Case Western",0
"Tulane","Tulane",1
"Wayne State","Wayne State",0
"Lower 72 Universities","Lower 72 Universities",58
"Yale","Harvard",3
"UC Berkeley","Harvard",1
"Princeton","Harvard",1
"Columbia","Harvard",1
"Brandeis","Harvard",1
"Johns Hopkins","Harvard",1
"UPenn","Harvard",1
"Rochester","Harvard",1
"NYU","Harvard",1
"Duke","Harvard",1
"Lower 72 Universities","Harvard",1
"UC Berkeley","Yale",1
"Stanford","Yale",3
"Columbia","Yale",1
"UPenn","Yale",1
"Cornell","Yale",2
"UNC","Yale",2
"Virginia","Yale",1
"Harvard","UC Berkeley",5
"Princeton","UC Berkeley",2
"Stanford","UC Berkeley",1
"Chicago","UC Berkeley",1
"Columbia","UC Berkeley",2
"UT Austin","UC Berkeley",1
"Harvard","Princeton",3
"Yale","Princeton",5
"UC Berkeley","Princeton",2
"UPenn","Princeton",1
"Wisconsin, Madison","Princeton",1
"Michigan","Princeton",1
"Minnesota","Princeton",1
"UC Santa Barbara","Princeton",1
"Harvard","Stanford",3
"UC Berkeley","Stanford",5
"Columbia","Stanford",1
"Michigan","Stanford",1
"Virginia","Stanford",1
"Yale","Chicago",4
"UC Berkeley","Chicago",1
"Princeton","Chicago",1
"Stanford","Chicago",2
"Columbia","Chicago",2
"Michigan","Chicago",1
"Brown","Chicago",1
"Harvard","Columbia",3
"Yale","Columbia",3
"Princeton","Columbia",2
"Stanford","Columbia",2
"Chicago","Columbia",1
"Brandeis","Columbia",1
"Johns Hopkins","Columbia",1
"UPenn","Columbia",1
"Michigan","Columbia",1
"UCLA","Columbia",1
"Northwestern","Columbia",1
"NYU","Columbia",2
"Duke","Columbia",1
"Rutgers","Columbia",1
"Lower 72 Universities","Columbia",1
"Harvard","Brandeis",1
"Yale","Brandeis",1
"Stanford","Brandeis",1
"Harvard","Johns Hopkins",1
"Stanford","Johns Hopkins",1
"Columbia","Johns Hopkins",1
"Rochester","Johns Hopkins",1
"UT Austin","Johns Hopkins",1
"UC Santa Barbara","Johns Hopkins",1
"Harvard","UPenn",3
"Yale","UPenn",3
"Princeton","UPenn",1
"Stanford","UPenn",1
"Columbia","UPenn",2
"Wisconsin, Madison","UPenn",1
"Michigan","UPenn",3
"Brown","UPenn",1
"Duke","UPenn",1
"Wash. U. St. Louis","UPenn",1
"SUNY Binghamton","UPenn",1
"Harvard","Wisconsin, Madison",1
"Yale","Wisconsin, Madison",2
"UC Berkeley","Wisconsin, Madison",1
"Princeton","Wisconsin, Madison",2
"Columbia","Wisconsin, Madison",2
"Brandeis","Wisconsin, Madison",1
"Michigan","Wisconsin, Madison",1
"Northwestern","Wisconsin, Madison",1
"Cornell","Wisconsin, Madison",1
"Brown","Wisconsin, Madison",1
"Minnesota","Wisconsin, Madison",2
"UC Riverside","Wisconsin, Madison",1
"UC Irvine","Wisconsin, Madison",1
"UC Santa Cruz","Wisconsin, Madison",1
"Harvard","Michigan",2
"Yale","Michigan",1
"UC Berkeley","Michigan",2
"Princeton","Michigan",2
"Stanford","Michigan",4
"Chicago","Michigan",3
"Columbia","Michigan",6
"Johns Hopkins","Michigan",1
"UPenn","Michigan",2
"Wisconsin, Madison","Michigan",1
"Northwestern","Michigan",1
"UC Davis","Michigan",1
"NYU","Michigan",2
"Minnesota","Michigan",2
"Rutgers","Michigan",1
"Indiana","Michigan",1
"SUNY Stony Brook","Michigan",1
"UC Santa Barbara","Michigan",1
"Yale","UCLA",2
"Stanford","UCLA",2
"Chicago","UCLA",2
"Columbia","UCLA",1
"Northwestern","UCLA",1
"Cornell","UCLA",1
"Washington","UCLA",1
"Michigan State","UCLA",1
"Harvard","Northwestern",1
"UC Berkeley","Northwestern",2
"Princeton","Northwestern",2
"Chicago","Northwestern",1
"Columbia","Northwestern",1
"UPenn","Northwestern",1
"Wisconsin, Madison","Northwestern",1
"Michigan","Northwestern",2
"UCLA","Northwestern",1
"UNC","Northwestern",1
"Ohio State","Northwestern",1
"Lower 72 Universities","Northwestern",1
"Harvard","Cornell",1
"UC Berkeley","Cornell",1
"Princeton","Cornell",1
"Stanford","Cornell",1
"Columbia","Cornell",2
"Northwestern","Cornell",1
