school,in,out
"Harvard",17,105
"Yale",13,123
"UC Berkeley",14,86
"Princeton",17,63
"Stanford",11,70
"Chicago",13,84
"Columbia",30,108
"Brandeis",3,13
"Johns Hopkins",7,34
"UPenn",18,54
"Wisconsin, Madison",18,53
"Michigan",35,77
"UCLA",14,59
"Northwestern",15,26
"Cornell",11,30
"Brown",14,18
"UC Davis",12,12
"Rochester",2,7
"NYU",19,30
"UC San Diego",13,15
"Duke",17,17
"Minnesota",24,25
"Rutgers",32,33
"UNC",13,27
"Virginia",11,19
"USC",14,3
"Washington",14,6
"MIT",7,1
"UT Austin",21,19
"Emory",11,12
"Indiana",15,21
"SUNY Stony Brook",13,8
"Illinois, Urb. Champ.",15,17
"Wash. U. St. Louis",14,6
"UC Riverside",13,8
"Michigan State",17,5
"UC Irvine",15,7
"UC Santa Barbara",20,18
"SUNY Binghamton",12,5
"Georgetown",12,4
"Arizona",12,9
"Maryland",14,8
"Catholic Univ. America",6,1
"Florida",16,3
"Carnegie Mellon",6,3
"Pittsburgh",8,3
"Tufts",6,3
"Notre Dame",8,6
"Rice",10,2
"SUNY Buffalo",9,2
"UC Santa Cruz",13,1
"Boston Univ.",12,5
"Vanderbilt",8,1
"George Washington",15,5
"UConn",12,3
"New Mexico",14,6
"Ohio State",24,15
"Georgia",9,3
"Iowa",12,8
"UMass Amherst",16,5
"Northern Illinois",11,2
"Miami",7,2
"Boston College",10,3
"Illinois, Chicago",13,5
"Temple",10,1
"Claremont",3,1
"LSU",9,0
"Kansas",14,3
"Hawaii",9,0
"Case Western",6,2
"Tulane",7,5
"Wayne State",8,0
"Lower 72 Universities",572,71
