school,in,out
"Stanford",76,331
"MIT",79,310
"Harvard",138,277
"UC Berkeley",54,178
"Rochester",29,101
"Chicago",95,220
"Cornell",40,136
"Northwestern",103,179
"Michigan",84,211
"Columbia",90,131
"Yale",50,97
"UPenn",152,229
"Carnegie Mellon",55,119
"Wisconsin",53,121
"UCLA",71,108
"NYU",122,162
"Minnesota",75,133
"Illinois, Urb. Champ.",67,166
"Duke",68,80
"Purdue",59,147
"Ohio State",64,141
"Iowa",52,86
"UNC",78,107
"Wash. U. in St. Louis",49,50
"Florida",57,86
"Lower 87 Universities",4240,2194
