has,prefers,count
"Stanford","Stanford",20
"MIT","MIT",23
"Harvard","Harvard",60
"UC Berkeley","UC Berkeley",4
"Rochester","Rochester",2
"Chicago","Chicago",12
"Cornell","Cornell",2
"Northwestern","Northwestern",10
"Michigan","Michigan",15
"Columbia","Columbia",9
"Yale","Yale",10
"UPenn","UPenn",8
"Carnegie Mellon","Carnegie Mellon",3
"Wisconsin","Wisconsin",7
"UCLA","UCLA",5
"NYU","NYU",9
"Minnesota","Minnesota",5
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",5
"Duke","Duke",6
"Purdue","Purdue",9
"Ohio State","Ohio State",8
"Iowa","Iowa",9
"UNC","UNC",11
"Wash. U. in St. Louis","Wash. U. in St. Louis",0
"Florida","Florida",3
"UT Austin","UT Austin",10
"Pittsburgh","Pittsburgh",2
"Penn State","Penn State",5
"Washington","Washington",3
"Maryland","Maryland",3
"Indiana","Indiana",13
"Michigan State","Michigan State",15
"Georgia Tech","Georgia Tech",3
"Colorado, Boulder","Colorado, Boulder",0
"UC Irvine","UC Irvine",0
"Arizona","Arizona",3
"Utah","Utah",0
"Oregon","Oregon",1
"USC","USC",20
"SUNY Buffalo","SUNY Buffalo",1
"UT Dallas","UT Dallas",2
"Virginia","Virginia",3
"Boston","Boston",5
"UMass Amherst","UMass Amherst",8
"TexasAM","TexasAM",3
"Emory","Emory",1
"Case Western","Case Western",8
"UC Davis","UC Davis",1
"Georgia","Georgia",3
"Vanderbilt","Vanderbilt",1
"Syracuse","Syracuse",2
"Claremont","Claremont",0
"Arizona State","Arizona State",4
"South Carolina","South Carolina",0
"Virginia Tech","Virginia Tech",8
"Florida State","Florida State",8
"Oklahoma","Oklahoma",7
"Tulane","Tulane",2
"UConn","UConn",3
"Boston College","Boston College",2
"Cincinnati","Cincinnati",3
"Houston","Houston",13
"Rutgers","Rutgers",1
"Kansas","Kansas",3
"Louisiana State","Louisiana State",3
"Arkansas","Arkansas",4
"Tennessee","Tennessee",7
"Dartmouth","Dartmouth",0
"Kentucky","Kentucky",6
"Rice","Rice",1
"SMU","SMU",0
"Temple","Temple",8
"George Washington","George Washington",10
"Alabama","Alabama",3
"Oklahoma State","Oklahoma State",7
"SUNY Binghamton","SUNY Binghamton",1
"Iowa State","Iowa State",1
"CUNY Baruch","CUNY Baruch",0
"Hawaii","Hawaii",0
"Mississippi","Mississippi",1
"Missouri, St. Louis","Missouri, St. Louis",0
"Georgetown","Georgetown",0
"Drexel","Drexel",2
"Auburn","Auburn",0
"Notre Dame","Notre Dame",3
"NC State","NC State",1
"Miami","Miami",1
"Saint Louis","Saint Louis",6
"Worcester","Worcester",0
"William and Mary","William and Mary",1
"Clarkson","Clarkson",0
"Brigham Young","Brigham Young",1
"Fordham","Fordham",1
"Santa Clara","Santa Clara",0
"Portland State","Portland State",1
"Rollins","Rollins",0
"Northeastern","Northeastern",0
"Miami at Ohio","Miami at Ohio",0
"Bentley","Bentley",0
"Howard","Howard",3
"Rochester Inst. Tech.","Rochester Inst. Tech.",0
"Texas Christian","Texas Christian",0
"Abilene","Abilene",0
"Babson","Babson",0
"Pepperdine","Pepperdine",0
"Denver","Denver",0
"Wake Forest","Wake Forest",0
"Thunderbird","Thunderbird",0
"Pace","Pace",0
"Baylor","Baylor",2
"DePaul","DePaul",2
"Hofstra","Hofstra",2
"MIT","Stanford",10
"Harvard","Stanford",9
"UC Berkeley","Stanford",6
"Rochester","Stanford",3
"Chicago","Stanford",2
"Cornell","Stanford",2
"Northwestern","Stanford",4
"Michigan","Stanford",2
"Columbia","Stanford",1
"Yale","Stanford",6
"UPenn","Stanford",2
"Carnegie Mellon","Stanford",3
"Wisconsin","Stanford",1
"UCLA","Stanford",5
"NYU","Stanford",1
"Minnesota","Stanford",1
"Duke","Stanford",4
"Ohio State","Stanford",2
"Iowa","Stanford",1
"UNC","Stanford",1
"UT Austin","Stanford",1
"USC","Stanford",1
"Case Western","Stanford",1
"Kansas","Stanford",1
"Georgetown","Stanford",1
"Denver","Stanford",1
"Stanford","MIT",22
"Harvard","MIT",12
"UC Berkeley","MIT",4
"Rochester","MIT",1
"Chicago","MIT",11
"Cornell","MIT",3
"Northwestern","MIT",1
"Michigan","MIT",2
"Columbia","MIT",2
"Yale","MIT",2
"UPenn","MIT",6
"Wisconsin","MIT",2
"NYU","MIT",2
"Ohio State","MIT",1
"Iowa","MIT",1
"UNC","MIT",1
"Penn State","MIT",1
"Washington","MIT",1
"UC Irvine","MIT",1
"Arizona State","MIT",1
"Stanford","Harvard",21
"MIT","Harvard",25
"UC Berkeley","Harvard",6
"Rochester","Harvard",4
"Chicago","Harvard",7
"Cornell","Harvard",4
"Northwestern","Harvard",7
"Michigan","Harvard",6
"Columbia","Harvard",6
"Yale","Harvard",3
"UPenn","Harvard",6
"Carnegie Mellon","Harvard",4
"UCLA","Harvard",4
"NYU","Harvard",4
"Duke","Harvard",3
"Purdue","Harvard",3
"Pittsburgh","Harvard",2
"Arizona","Harvard",1
"Boston","Harvard",1
"Stanford","UC Berkeley",18
"MIT","UC Berkeley",10
"Harvard","UC Berkeley",8
"Rochester","UC Berkeley",2
"Chicago","UC Berkeley",3
"Cornell","UC Berkeley",1
"Northwestern","UC Berkeley",2
"Michigan","UC Berkeley",1
"Columbia","UC Berkeley",2
"Yale","UC Berkeley",3
"UPenn","UC Berkeley",3
"Wisconsin","UC Berkeley",5
"UCLA","UC Berkeley",1
"NYU","UC Berkeley",1
"Minnesota","UC Berkeley",1
"UNC","UC Berkeley",1
"Florida","UC Berkeley",1
"Penn State","UC Berkeley",1
"Washington","UC Berkeley",1
"Northeastern","UC Berkeley",2
"Stanford","Rochester",2
"MIT","Rochester",3
"Harvard","Rochester",2
"UC Berkeley","Rochester",2
"Chicago","Rochester",4
"Northwestern","Rochester",3
"Columbia","Rochester",1
"UPenn","Rochester",2
"Carnegie Mellon","Rochester",1
"UCLA","Rochester",1
"NYU","Rochester",2
"Duke","Rochester",1
"Purdue","Rochester",1
"UNC","Rochester",2
"Georgia Tech","Rochester",1
"Arizona","Rochester",1
"Oregon","Rochester",1
"SUNY Buffalo","Rochester",1
"Case Western","Rochester",1
"Tulane","Rochester",1
"Stanford","Chicago",6
"MIT","Chicago",18
"Harvard","Chicago",17
"UC Berkeley","Chicago",3
"Rochester","Chicago",3
"Cornell","Chicago",4
"Northwestern","Chicago",4
"Michigan","Chicago",6
"Columbia","Chicago",2
"Yale","Chicago",7
"UPenn","Chicago",4
"Carnegie Mellon","Chicago",1
"Wisconsin","Chicago",1
"UCLA","Chicago",4
"NYU","Chicago",2
"Illinois, Urb. Champ.","Chicago",1
"Duke","Chicago",3
"Purdue","Chicago",1
"UNC","Chicago",1
"Pittsburgh","Chicago",1
"Penn State","Chicago",1
"Washington","Chicago",1
"Maryland","Chicago",1
"Indiana","Chicago",1
"Georgia Tech","Chicago",2
"Arizona","Chicago",1
"SUNY Buffalo","Chicago",1
"Cincinnati","Chicago",1
"Stanford","Cornell",2
"MIT","Cornell",3
"Harvard","Cornell",1
"UC Berkeley","Cornell",3
"Chicago","Cornell",4
"Northwestern","Cornell",3
"Michigan","Cornell",7
"Columbia","Cornell",1
"Yale","Cornell",2
"UPenn","Cornell",4
"Carnegie Mellon","Cornell",2
"UCLA","Cornell",2
"NYU","Cornell",3
"Illinois, Urb. Champ.","Cornell",4
"Duke","Cornell",1
"Ohio State","Cornell",2
"Florida","Cornell",1
"Penn State","Cornell",1
"Stanford","Northwestern",21
"MIT","Northwestern",19
"Harvard","Northwestern",9
"UC Berkeley","Northwestern",4
"Rochester","Northwestern",6
"Chicago","Northwestern",5
"Cornell","Northwestern",4
"Michigan","Northwestern",3
"Columbia","Northwestern",7
"Yale","Northwestern",2
"UPenn","Northwestern",8
"Carnegie Mellon","Northwestern",2
"Wisconsin","Northwestern",2
"NYU","Northwestern",1
"Minnesota","Northwestern",1
"Illinois, Urb. Champ.","Northwestern",2
"Duke","Northwestern",4
"Purdue","Northwestern",1
"Ohio State","Northwestern",3
"UNC","Northwestern",1
"Wash. U. in St. Louis","Northwestern",1
"UT Austin","Northwestern",1
"Pittsburgh","Northwestern",1
"Penn State","Northwestern",1
"Maryland","Northwestern",2
"Indiana","Northwestern",1
"Michigan State","Northwestern",1
"Georgia Tech","Northwestern",1
"Arizona","Northwestern",1
"Boston","Northwestern",1
"TexasAM","Northwestern",1
"Stanford","Michigan",10
"MIT","Michigan",4
"Harvard","Michigan",7
"UC Berkeley","Michigan",1
"Rochester","Michigan",3
"Chicago","Michigan",6
"Cornell","Michigan",1
"Northwestern","Michigan",12
"Columbia","Michigan",3
"Yale","Michigan",3
"UPenn","Michigan",11
"Carnegie Mellon","Michigan",6
"Wisconsin","Michigan",1
"UCLA","Michigan",2
"NYU","Michigan",3
"Illinois, Urb. Champ.","Michigan",1
"Duke","Michigan",1
"Purdue","Michigan",1
"Ohio State","Michigan",1
"UNC","Michigan",3
"UT Austin","Michigan",1
"Penn State","Michigan",2
"Maryland","Michigan",1
"Michigan State","Michigan",2
"UC Irvine","Michigan",1
"USC","Michigan",1
"SUNY Buffalo","Michigan",1
"Cincinnati","Michigan",1
"Stanford","Columbia",17
"MIT","Columbia",15
"Harvard","Columbia",13
"UC Berkeley","Columbia",6
"Chicago","Columbia",7
"Cornell","Columbia",5
"Northwestern","Columbia",4
"Michigan","Columbia",2
"Yale","Columbia",3
"UPenn","Columbia",6
"Carnegie Mellon","Columbia",5
"UCLA","Columbia",1
"NYU","Columbia",7
"Duke","Columbia",1
"Purdue","Columbia",1
"UNC","Columbia",1
"Florida","Columbia",1
"Washington","Columbia",2
"USC","Columbia",1
"Dartmouth","Columbia",1
"Stanford","Yale",3
"MIT","Yale",11
"Harvard","Yale",9
"UC Berkeley","Yale",2
"Rochester","Yale",2
"Chicago","Yale",5
"Cornell","Yale",2
"Michigan","Yale",4
"Columbia","Yale",2
"UPenn","Yale",1
"Carnegie Mellon","Yale",5
"Wisconsin","Yale",1
"UCLA","Yale",1
"NYU","Yale",3
"Minnesota","Yale",1
"Duke","Yale",1
"Maryland","Yale",1
"Stanford","UPenn",23
"MIT","UPenn",27
"Harvard","UPenn",30
"UC Berkeley","UPenn",10
"Rochester","UPenn",4
"Chicago","UPenn",19
"Cornell","UPenn",8
"Northwestern","UPenn",8
"Michigan","UPenn",8
"Columbia","UPenn",8
"Yale","UPenn",4
"Carnegie Mellon","UPenn",5
"Wisconsin","UPenn",2
"UCLA","UPenn",2
"NYU","UPenn",2
"Minnesota","UPenn",3
"Illinois, Urb. Champ.","UPenn",2
"Duke","UPenn",4
"Purdue","UPenn",1
"Iowa","UPenn",1
"UNC","UPenn",1
"Florida","UPenn",1
"UT Austin","UPenn",3
"Penn State","UPenn",1
"Maryland","UPenn",1
"Indiana","UPenn",1
"Arizona","UPenn",1
"SUNY Buffalo","UPenn",1
"Virginia","UPenn",1
"TexasAM","UPenn",1
"Boston College","UPenn",1
"Rutgers","UPenn",1
"Kansas","UPenn",1
"Iowa State","UPenn",1
"Georgetown","UPenn",1
"Stanford","Carnegie Mellon",7
"MIT","Carnegie Mellon",3
"Harvard","Carnegie Mellon",2
"UC Berkeley","Carnegie Mellon",1
"Rochester","Carnegie Mellon",2
"Chicago","Carnegie Mellon",4
"Cornell","Carnegie Mellon",4
"Northwestern","Carnegie Mellon",4
"Michigan","Carnegie Mellon",4
"Columbia","Carnegie Mellon",2
"Yale","Carnegie Mellon",1
"UPenn","Carnegie Mellon",4
"Wisconsin","Carnegie Mellon",5
"UCLA","Carnegie Mellon",3
"NYU","Carnegie Mellon",1
"Minnesota","Carnegie Mellon",5
"Purdue","Carnegie Mellon",2
"Ohio State","Carnegie Mellon",1
"UNC","Carnegie Mellon",1
"Florida","Carnegie Mellon",2
"Pittsburgh","Carnegie Mellon",1
"Penn State","Carnegie Mellon",1
"Washington","Carnegie Mellon",1
"Georgia Tech","Carnegie Mellon",2
"UC Irvine","Carnegie Mellon",1
"USC","Carnegie Mellon",1
"Houston","Carnegie Mellon",1
"Tennessee","Carnegie Mellon",1
"Rice","Carnegie Mellon",2
"Stanford","Wisconsin",3
"MIT","Wisconsin",1
"Harvard","Wisconsin",1
"UC Berkeley","Wisconsin",1
"Chicago","Wisconsin",3
"Cornell","Wisconsin",2
"Northwestern","Wisconsin",3
"Michigan","Wisconsin",4
"Yale","Wisconsin",1
"UPenn","Wisconsin",6
"UCLA","Wisconsin",1
"Minnesota","Wisconsin",3
"Illinois, Urb. Champ.","Wisconsin",3
"Duke","Wisconsin",1
