school,in,out
"Stanford",16,81
"MIT",21,54
"Harvard",39,67
"UC Berkeley",17,43
"Rochester",6,16
"Chicago",15,44
"Cornell",8,34
"Northwestern",24,69
"Michigan",21,71
"Columbia",18,54
"Yale",14,24
"UPenn",44,50
"Carnegie Mellon",17,30
"Wisconsin",7,31
"UCLA",15,30
"NYU",24,53
"Minnesota",30,36
"Illinois, Urb. Champ.",19,42
"Duke",14,34
"Purdue",13,18
"Ohio State",19,38
"Iowa",17,18
"UNC",21,58
"Wash. U. in St. Louis",12,16
"Florida",10,31
"UT Austin",26,53
"Pittsburgh",14,18
"Penn State",12,29
"Washington",16,18
"Maryland",26,34
"Indiana",22,21
"Michigan State",22,38
"Georgia Tech",9,15
"Colorado, Boulder",9,17
"UC Irvine",16,8
"Arizona",22,12
"Utah",10,15
"Oregon",6,4
"USC",39,32
"SUNY Buffalo",10,6
"UT Dallas",14,8
"Virginia",15,6
"Boston",23,23
"UMass Amherst",16,8
"TexasAM",14,30
"Emory",13,10
"Case Western",12,10
"UC Davis",13,2
"Georgia",20,20
"Vanderbilt",5,5
"Syracuse",12,6
"Claremont",4,3
"Arizona State",31,24
"South Carolina",18,16
"Virginia Tech",22,21
"Florida State",16,13
"Lower 56 Universities",788,189
