has,prefers,count
"Stanford","Stanford",17
"MIT","MIT",21
"Harvard","Harvard",50
"UC Berkeley","UC Berkeley",2
"Rochester","Rochester",2
"Chicago","Chicago",10
"Cornell","Cornell",2
"Northwestern","Northwestern",6
"Michigan","Michigan",12
"Columbia","Columbia",8
"Yale","Yale",8
"UPenn","UPenn",7
"Carnegie Mellon","Carnegie Mellon",3
"Wisconsin","Wisconsin",7
"UCLA","UCLA",5
"NYU","NYU",8
"Minnesota","Minnesota",5
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",4
"Duke","Duke",4
"Purdue","Purdue",9
"Ohio State","Ohio State",7
"Iowa","Iowa",8
"UNC","UNC",5
"Wash. U. in St. Louis","Wash. U. in St. Louis",0
"Florida","Florida",3
"UT Austin","UT Austin",9
"Pittsburgh","Pittsburgh",2
"Penn State","Penn State",4
"Washington","Washington",1
"Maryland","Maryland",3
"Indiana","Indiana",10
"Michigan State","Michigan State",12
"Georgia Tech","Georgia Tech",3
"Colorado, Boulder","Colorado, Boulder",0
"UC Irvine","UC Irvine",0
"Arizona","Arizona",3
"Utah","Utah",0
"Oregon","Oregon",1
"USC","USC",13
"SUNY Buffalo","SUNY Buffalo",1
"UT Dallas","UT Dallas",2
"Virginia","Virginia",3
"Boston","Boston",3
"UMass Amherst","UMass Amherst",6
"TexasAM","TexasAM",3
"Emory","Emory",0
"Case Western","Case Western",7
"UC Davis","UC Davis",1
"Georgia","Georgia",2
"Vanderbilt","Vanderbilt",0
"Syracuse","Syracuse",2
"Claremont","Claremont",0
"Arizona State","Arizona State",4
"South Carolina","South Carolina",0
"Virginia Tech","Virginia Tech",3
"Florida State","Florida State",6
"Lower 56 Universities","Lower 56 Universities",433
"MIT","Stanford",10
"Harvard","Stanford",7
"UC Berkeley","Stanford",6
"Rochester","Stanford",3
"Chicago","Stanford",2
"Cornell","Stanford",1
"Northwestern","Stanford",3
"Michigan","Stanford",1
"Columbia","Stanford",1
"Yale","Stanford",4
"UPenn","Stanford",2
"Carnegie Mellon","Stanford",2
"Wisconsin","Stanford",1
"UCLA","Stanford",4
"NYU","Stanford",1
"Minnesota","Stanford",1
"Duke","Stanford",4
"Ohio State","Stanford",2
"Iowa","Stanford",1
"UNC","Stanford",1
"Case Western","Stanford",1
"Lower 56 Universities","Stanford",1
"Stanford","MIT",18
"Harvard","MIT",10
"UC Berkeley","MIT",2
"Rochester","MIT",1
"Chicago","MIT",8
"Cornell","MIT",3
"Michigan","MIT",1
"Columbia","MIT",1
"Yale","MIT",1
"UPenn","MIT",6
"Wisconsin","MIT",2
"NYU","MIT",1
"Iowa","MIT",1
"Penn State","MIT",1
"UC Irvine","MIT",1
"Arizona State","MIT",1
"Stanford","Harvard",15
"MIT","Harvard",21
"UC Berkeley","Harvard",6
"Rochester","Harvard",4
"Chicago","Harvard",6
"Cornell","Harvard",4
"Northwestern","Harvard",4
"Michigan","Harvard",4
"Columbia","Harvard",3
"Yale","Harvard",2
"UPenn","Harvard",4
"Carnegie Mellon","Harvard",3
"UCLA","Harvard",2
"NYU","Harvard",2
"Duke","Harvard",3
"Purdue","Harvard",2
"Pittsburgh","Harvard",2
"Boston","Harvard",1
"Stanford","UC Berkeley",14
"MIT","UC Berkeley",8
"Harvard","UC Berkeley",7
"Rochester","UC Berkeley",1
"Chicago","UC Berkeley",3
"Cornell","UC Berkeley",1
"Northwestern","UC Berkeley",1
"Columbia","UC Berkeley",2
"Yale","UC Berkeley",2
"UPenn","UC Berkeley",2
"Wisconsin","UC Berkeley",5
"UCLA","UC Berkeley",1
"NYU","UC Berkeley",1
"Minnesota","UC Berkeley",1
"Florida","UC Berkeley",1
"Penn State","UC Berkeley",1
"Lower 56 Universities","UC Berkeley",1
"Stanford","Rochester",1
"MIT","Rochester",3
"Harvard","Rochester",2
"UC Berkeley","Rochester",2
