school,in,out
"Stanford",42,158
"UC Berkeley",40,180
"MIT",55,248
"Caltech",11,39
"Harvard",16,56
"Cornell",41,96
"Carnegie Mellon",94,138
"Princeton",22,73
"Yale",17,43
"Washington",38,64
"Illinois, Urb. Champ.",42,141
"Wisconsin, Madison",30,78
"UPenn",25,65
"Rice",15,35
"UCLA",33,50
"NYU",20,25
"Chicago",16,24
"UT, Austin",35,91
"Brown",19,47
"Columbia",30,37
"Toronto",40,124
"Rochester",20,31
"Southern California",25,45
"Johns Hopkins",13,17
"UMass, Amherst",34,70
"Lower 180 Universities",2959,1757
