school,in,out
"Stanford",47,189
"UC Berkeley",43,204
"MIT",67,299
"Caltech",13,40
"Harvard",20,68
"Cornell",47,113
"Carnegie Mellon",116,166
"Princeton",28,82
"Yale",20,47
"Washington",45,76
"Illinois, Urb. Champ.",46,164
"Wisconsin, Madison",36,87
"UPenn",29,84
"Rice",17,42
"UCLA",35,64
"NYU",23,28
"Chicago",18,28
"UT, Austin",41,94
"Brown",21,53
"Columbia",35,47
"Toronto",50,145
"Rochester",22,33
"Southern California",27,49
"Johns Hopkins",15,19
"UMass, Amherst",39,80
"UC San Diego",44,38
"Maryland, College Park",46,80
"Michigan",53,64
"UNC",27,40
"Duke",21,21
"SUNY Stony Brook",31,46
"UC Irvine",36,37
"Dartmouth",16,9
"Virginia",22,33
"Purdue",39,99
"Minnesota, Minneapolis",34,63
"Georgia Tech",77,72
"Rutgers",30,33
"Arizona",11,22
"Penn. State",33,47
"Ohio State",31,68
"Northwestern",34,34
"Wash. U. St. Louis",22,22
"Pittsburgh",20,37
"Boston Univ.",16,11
"British Columbia",36,49
"Oregon",14,8
"Syracuse",14,24
"UC Santa Barbara",28,22
"Utah",31,31
"UC Davis",28,17
"Texas A&M",31,31
"Houston",18,5
"Michigan State",31,22
"Waterloo",63,64
"Colorado, Boulder",27,17
"McGill",36,28
"CUNY Graduate Center",2,4
"Case Western",13,17
"UC Riverside",21,6
"Kansas",16,13
"Florida State",13,6
"William and Mary",13,12
"Lehigh",14,5
"Montreal",25,22
"Simon Fraser",32,17
"Illinois, Chicago",23,12
"Cincinnati",5,10
"UC Santa Cruz",24,8
"Rensselaer Polytech.",28,16
"Southern Methodist",12,11
"Central Florida",25,18
"New Mexico",17,10
"NC State",37,26
"SUNY Buffalo",27,21
"Stevens Inst. Tech.",10,7
"Washington State, Pullman",17,9
"McMaster",12,4
"Brandeis",11,3
"Alberta",38,22
"George Washington",19,10
"Poly. Inst. of NYU",16,10
"Iowa",15,14
"Delaware",21,6
"Iowa State",23,20
"Vanderbilt",16,12
"Florida",33,10
"George Mason",38,14
"Notre Dame",18,11
"Wayne State",20,19
"Calgary",24,13
"Louisiana, Lafayette",12,13
"Western Ontario",18,14
"Carleton",22,14
"Queens",26,12
"Wisconsin, Milwaukee",14,4
"Louisiana State",13,12
"Texas, Arlington",26,8
"Ottawa",22,11
"UConn",20,5
"Oregon Hlth & Sci",11,4
"Arizona State",38,11
"Kansas State",15,14
"SUNY Albany",13,5
"South Florida",18,8
"Virginia Tech",37,11
"Portland State",21,2
"South Carolina",22,4
"Missouri Sci. & Tech.",14,4
"Oklahoma",12,3
"Indiana",49,23
"Illinois Inst. Tech.",16,10
"Tennessee, Knoxville",17,4
"Miami",6,1
"New Jersey Inst. Tech.",19,3
"Kentucky",16,2
"SUNY Binghamton",16,6
"Colorado State",22,11
"Colorado, Denver",5,1
"Texas, Dallas",34,9
"Rhode Island",6,3
"Toyota Tech. Chicago",7,0
"Auburn",17,10
"Drexel",19,4
"Oregon State",19,5
"Manitoba",20,13
"Regina",9,6
"Nebraska, Lincoln",24,14
"Saskatchewan",22,2
"Florida Atlantic",17,7
"Texas, San Antonio",21,2
"Denver",10,2
"Maryland, Balt. County",20,3
"Oakland (Michigan)",7,2
"Maine",6,1
"Clarkson",6,2
"New Mexico State",8,6
"Memphis",12,1
"Victoria",24,11
"Concordia, Montreal",20,9
"Missouri, Kansas City",13,3
"Missouri, Columbia",15,3
"Dalhousie",26,6
"Virginia Commonwealth",4,1
"Worcester Poly.",23,3
"Old Dominion",14,3
"Texas, El Paso",10,2
"Naval Postgrad. Sch.",23,2
"UMass, Boston",6,0
"Wyoming",9,3
"York",30,2
"Georgia",16,3
"Mississippi State",18,9
"Tufts",15,2
"Florida Intl",21,7
"Southern Ill., Carbondale",9,4
"Ohio",8,0
"Claremont Graduate",4,1
"Catholic Univ. America",4,0
"Clemson",29,7
"UMass, Lowell",13,0
"Oklahoma State",8,1
"UNC, Charlotte",20,5
"Alabama, Birmingham",9,3
"Santa Clara",9,0
"Hawaii, Manoa",18,6
"Temple",21,4
"Toledo",7,1
"Michigan Tech.",15,0
"New Hampshire",9,1
"Montana State",9,1
"New Brunswick",15,5
"Wright State",16,1
"Western Michigan",11,3
"Northeastern",31,0
"Alabama, Huntsville",13,4
"Idaho, Moscow",9,2
"Texas Tech",14,3
"Tulsa",10,2
"Mississippi",5,1
"Brigham Young",27,9
"Long Island",5,0
"Southern Mississippi",14,1
"Colorado, Colorado Springs",9,0
"Colorado School of Mines",6,0
"Georgia State",13,0
"Nevada, Las Vegas",9,1
"Kent State",16,3
"Memorial Newfoundland",23,2
"Utah State",15,2
"DePaul",50,4
"North Dakota State",14,1
"Nova Southeastern",23,11
"Arkansas, Fayetteville",13,1
"Bridgeport",11,0
"Louisville",13,0
"Nebraska, Omaha",14,0
"Florida Inst. Tech.",13,1
"Arkansas, Little Rock",9,0
"Rochester Inst. Tech.",18,1
"Pace",15,0
"New Mexico Inst. Min. Tech.",6,0
"Nevada, Reno",12,0
"Alabama, Tuscaloosa",17,2
"North Texas, Denton",18,0
