school,in,out
"Stanford",42,158
"UC Berkeley",40,180
"MIT",55,248
"Caltech",11,39
"Harvard",16,56
"Cornell",41,96
"Carnegie Mellon",94,138
"Princeton",22,73
"Yale",17,43
"Washington",38,64
"Illinois, Urb. Champ.",42,141
"Wisconsin, Madison",30,78
"UPenn",25,65
"Rice",15,35
"UCLA",33,50
"NYU",20,25
"Chicago",16,24
"UT, Austin",35,91
"Brown",19,47
"Columbia",30,37
"Toronto",40,124
"Rochester",20,31
"Southern California",25,45
"Johns Hopkins",13,17
"UMass, Amherst",34,70
"UC San Diego",39,33
"Maryland, College Park",44,70
"Michigan",49,54
"UNC",23,32
"Duke",18,17
"SUNY Stony Brook",26,43
"UC Irvine",28,29
"Dartmouth",15,9
"Virginia",19,29
"Purdue",34,79
"Minnesota, Minneapolis",32,52
"Georgia Tech",61,60
"Rutgers",27,25
"Arizona",11,21
"Penn. State",28,38
"Ohio State",30,64
"Northwestern",32,30
"Wash. U. St. Louis",19,16
"Pittsburgh",16,32
"Boston Univ.",14,11
"British Columbia",29,40
"Oregon",13,8
"Syracuse",13,18
"UC Santa Barbara",24,19
"Utah",27,29
"UC Davis",25,16
"Texas A&M",23,26
"Houston",16,2
"Michigan State",24,21
"Waterloo",54,52
"Colorado, Boulder",20,13
"McGill",29,27
"CUNY Graduate Center",1,4
"Case Western",12,13
"UC Riverside",20,3
"Kansas",14,9
"Florida State",13,6
"William and Mary",9,8
"Lehigh",12,4
"Montreal",25,20
"Simon Fraser",28,13
"Illinois, Chicago",19,11
"Cincinnati",4,10
"UC Santa Cruz",22,7
"Rensselaer Polytech.",23,12
"Southern Methodist",8,10
"Central Florida",21,16
"New Mexico",14,8
"NC State",29,20
"SUNY Buffalo",24,16
"Stevens Inst. Tech.",9,7
"Washington State, Pullman",15,8
"McMaster",12,4
"Brandeis",9,2
"Alberta",34,20
"George Washington",13,8
"Poly. Inst. of NYU",12,9
"Iowa",13,12
"Delaware",16,3
"Iowa State",19,18
"Vanderbilt",14,7
"Florida",29,9
"George Mason",28,11
"Notre Dame",15,11
"Wayne State",19,17
"Calgary",18,11
"Louisiana, Lafayette",10,11
"Western Ontario",15,13
"Carleton",21,13
"Queens",19,12
"Wisconsin, Milwaukee",11,3
"Louisiana State",12,9
"Texas, Arlington",24,7
"Ottawa",16,8
"UConn",16,4
"Oregon Hlth & Sci",11,4
"Arizona State",34,10
"Kansas State",14,14
"SUNY Albany",11,4
"South Florida",17,7
"Virginia Tech",33,8
"Portland State",16,2
"South Carolina",18,4
"Missouri Sci. & Tech.",11,3
"Oklahoma",9,3
"Indiana",39,16
"Illinois Inst. Tech.",14,8
"Tennessee, Knoxville",14,4
"Miami",6,1
"New Jersey Inst. Tech.",18,2
"Kentucky",13,1
"SUNY Binghamton",15,4
"Colorado State",18,9
"Colorado, Denver",3,0
"Texas, Dallas",28,7
"Rhode Island",4,2
"Toyota Tech. Chicago",6,0
"Auburn",16,8
"Drexel",16,4
"Oregon State",15,5
"Manitoba",17,12
"Regina",9,5
"Nebraska, Lincoln",22,13
"Saskatchewan",21,2
"Florida Atlantic",14,6
"Texas, San Antonio",18,2
"Denver",9,2
"Maryland, Balt. County",16,3
"Oakland (Michigan)",7,1
"Maine",6,1
"Clarkson",5,2
"New Mexico State",6,4
"Memphis",11,1
"Victoria",16,9
"Concordia, Montreal",16,8
"Missouri, Kansas City",11,3
"Missouri, Columbia",12,2
"Dalhousie",22,4
"Virginia Commonwealth",4,1
"Worcester Poly.",19,2
"Old Dominion",13,3
"Texas, El Paso",9,2
"Naval Postgrad. Sch.",21,2
"UMass, Boston",4,0
"Wyoming",8,3
"York",24,2
"Georgia",13,2
"Mississippi State",14,8
"Tufts",9,2
"Florida Intl",19,4
"Southern Ill., Carbondale",8,4
"Ohio",7,0
"Claremont Graduate",3,1
"Catholic Univ. America",2,0
"Clemson",26,7
"UMass, Lowell",10,0
"Oklahoma State",7,1
"UNC, Charlotte",13,4
"Alabama, Birmingham",8,3
"Santa Clara",5,0
"Hawaii, Manoa",10,3
"Temple",20,3
"Toledo",6,1
"Michigan Tech.",11,0
"New Hampshire",8,1
"Montana State",9,1
"New Brunswick",12,4
"Wright State",15,1
"Western Michigan",10,2
"Northeastern",23,0
"Alabama, Huntsville",10,1
"Idaho, Moscow",9,2
"Texas Tech",12,3
"Tulsa",9,2
"Mississippi",4,1
"Brigham Young",27,9
"Long Island",4,0
"Southern Mississippi",10,1
"Colorado, Colorado Springs",9,0
"Colorado School of Mines",3,0
"Georgia State",12,0
"Nevada, Las Vegas",8,1
"Kent State",14,2
"Memorial Newfoundland",22,2
"Utah State",12,2
"DePaul",39,1
"North Dakota State",11,1
"Nova Southeastern",17,7
"Arkansas, Fayetteville",12,1
"Bridgeport",10,0
"Louisville",12,0
"Nebraska, Omaha",12,0
"Florida Inst. Tech.",12,0
"Arkansas, Little Rock",9,0
"Rochester Inst. Tech.",14,0
"Pace",14,0
"New Mexico Inst. Min. Tech.",5,0
"Nevada, Reno",11,0
"Alabama, Tuscaloosa",14,2
"North Texas, Denton",16,0
