has,prefers,count
"Stanford","Stanford",9
"UC Berkeley","UC Berkeley",7
"MIT","MIT",27
"Caltech","Caltech",2
"Harvard","Harvard",2
"Cornell","Cornell",3
"Carnegie Mellon","Carnegie Mellon",23
"Princeton","Princeton",2
"Yale","Yale",0
"Washington","Washington",2
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",3
"Wisconsin, Madison","Wisconsin, Madison",1
"UPenn","UPenn",1
"Rice","Rice",2
"UCLA","UCLA",4
"NYU","NYU",1
"Chicago","Chicago",0
"UT, Austin","UT, Austin",2
"Brown","Brown",1
"Columbia","Columbia",1
"Toronto","Toronto",17
"Rochester","Rochester",2
"Southern California","Southern California",3
"Johns Hopkins","Johns Hopkins",0
"UMass, Amherst","UMass, Amherst",2
"UC San Diego","UC San Diego",2
"Maryland, College Park","Maryland, College Park",2
"Michigan","Michigan",3
"UNC","UNC",2
"Duke","Duke",1
"SUNY Stony Brook","SUNY Stony Brook",2
"UC Irvine","UC Irvine",1
"Dartmouth","Dartmouth",0
"Virginia","Virginia",1
"Purdue","Purdue",2
"Minnesota, Minneapolis","Minnesota, Minneapolis",2
"Georgia Tech","Georgia Tech",6
"Rutgers","Rutgers",0
"Arizona","Arizona",2
"Penn. State","Penn. State",4
"Ohio State","Ohio State",2
"Northwestern","Northwestern",1
"Wash. U. St. Louis","Wash. U. St. Louis",2
"Pittsburgh","Pittsburgh",1
"Boston Univ.","Boston Univ.",0
"British Columbia","British Columbia",2
"Oregon","Oregon",0
"Syracuse","Syracuse",4
"UC Santa Barbara","UC Santa Barbara",1
"Utah","Utah",6
"UC Davis","UC Davis",0
"Texas A&M","Texas A&M",0
"Houston","Houston",1
"Michigan State","Michigan State",0
"Waterloo","Waterloo",8
"Colorado, Boulder","Colorado, Boulder",1
"McGill","McGill",5
"CUNY Graduate Center","CUNY Graduate Center",0
"Case Western","Case Western",1
"UC Riverside","UC Riverside",0
"Kansas","Kansas",1
"Florida State","Florida State",0
"William and Mary","William and Mary",0
"Lehigh","Lehigh",1
"Montreal","Montreal",13
"Simon Fraser","Simon Fraser",1
"Illinois, Chicago","Illinois, Chicago",1
"Cincinnati","Cincinnati",1
"UC Santa Cruz","UC Santa Cruz",0
"Rensselaer Polytech.","Rensselaer Polytech.",0
"Southern Methodist","Southern Methodist",2
"Central Florida","Central Florida",0
"New Mexico","New Mexico",1
"NC State","NC State",4
"SUNY Buffalo","SUNY Buffalo",2
"Stevens Inst. Tech.","Stevens Inst. Tech.",0
"Washington State, Pullman","Washington State, Pullman",0
"McMaster","McMaster",1
"Brandeis","Brandeis",0
"Alberta","Alberta",1
"George Washington","George Washington",2
"Poly. Inst. of NYU","Poly. Inst. of NYU",2
"Iowa","Iowa",0
"Delaware","Delaware",3
"Iowa State","Iowa State",0
"Vanderbilt","Vanderbilt",1
"Florida","Florida",1
"George Mason","George Mason",0
"Notre Dame","Notre Dame",1
"Wayne State","Wayne State",1
"Calgary","Calgary",4
"Louisiana, Lafayette","Louisiana, Lafayette",0
"Western Ontario","Western Ontario",3
"Carleton","Carleton",7
"Queens","Queens",2
"Wisconsin, Milwaukee","Wisconsin, Milwaukee",0
"Louisiana State","Louisiana State",0
"Texas, Arlington","Texas, Arlington",1
"Ottawa","Ottawa",5
"UConn","UConn",1
"Oregon Hlth & Sci","Oregon Hlth & Sci",2
"Arizona State","Arizona State",0
"Lower 103 Universities","Lower 103 Universities",317
"UC Berkeley","Stanford",8
"MIT","Stanford",8
"Caltech","Stanford",3
"Harvard","Stanford",2
"Cornell","Stanford",3
"Carnegie Mellon","Stanford",5
"Princeton","Stanford",1
"Yale","Stanford",1
"Wisconsin, Madison","Stanford",1
"UCLA","Stanford",2
"Michigan","Stanford",1
"UNC","Stanford",1
"SUNY Stony Brook","Stanford",1
"Waterloo","Stanford",1
"Stanford","UC Berkeley",9
"MIT","UC Berkeley",8
"Caltech","UC Berkeley",1
"Harvard","UC Berkeley",2
"Carnegie Mellon","UC Berkeley",5
"Princeton","UC Berkeley",1
"Washington","UC Berkeley",1
"Illinois, Urb. Champ.","UC Berkeley",1
"Wisconsin, Madison","UC Berkeley",2
