has,prefers,count
"Stanford","Stanford",1
"UC Berkeley","UC Berkeley",1
"MIT","MIT",5
"Caltech","Caltech",0
"Harvard","Harvard",0
"Cornell","Cornell",0
"Carnegie Mellon","Carnegie Mellon",7
"Princeton","Princeton",1
"Yale","Yale",0
"Washington","Washington",1
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",1
"Wisconsin, Madison","Wisconsin, Madison",0
"UPenn","UPenn",0
"Rice","Rice",0
"UCLA","UCLA",0
"NYU","NYU",0
"Chicago","Chicago",0
"UT, Austin","UT, Austin",0
"Brown","Brown",0
"Columbia","Columbia",0
"Toronto","Toronto",2
"Rochester","Rochester",0
"Southern California","Southern California",0
"Johns Hopkins","Johns Hopkins",0
"UMass, Amherst","UMass, Amherst",0
"UC San Diego","UC San Diego",0
"Maryland, College Park","Maryland, College Park",0
"Michigan","Michigan",0
"UNC","UNC",0
"Duke","Duke",0
"SUNY Stony Brook","SUNY Stony Brook",0
"UC Irvine","UC Irvine",0
"Dartmouth","Dartmouth",0
"Virginia","Virginia",0
"Purdue","Purdue",1
"Minnesota, Minneapolis","Minnesota, Minneapolis",0
"Georgia Tech","Georgia Tech",3
"Rutgers","Rutgers",0
"Arizona","Arizona",0
"Penn. State","Penn. State",1
"Ohio State","Ohio State",0
"Northwestern","Northwestern",0
"Wash. U. St. Louis","Wash. U. St. Louis",0
"Pittsburgh","Pittsburgh",0
"Boston Univ.","Boston Univ.",0
"British Columbia","British Columbia",0
"Oregon","Oregon",0
"Syracuse","Syracuse",0
"UC Santa Barbara","UC Santa Barbara",1
"Utah","Utah",1
"UC Davis","UC Davis",0
"Texas A&M","Texas A&M",0
"Houston","Houston",1
"Michigan State","Michigan State",0
"Waterloo","Waterloo",1
"Colorado, Boulder","Colorado, Boulder",1
"McGill","McGill",0
"CUNY Graduate Center","CUNY Graduate Center",0
"Case Western","Case Western",0
"UC Riverside","UC Riverside",0
"Kansas","Kansas",0
"Florida State","Florida State",0
"William and Mary","William and Mary",0
"Lehigh","Lehigh",0
"Montreal","Montreal",0
"Simon Fraser","Simon Fraser",0
"Illinois, Chicago","Illinois, Chicago",0
"Cincinnati","Cincinnati",0
"UC Santa Cruz","UC Santa Cruz",0
"Rensselaer Polytech.","Rensselaer Polytech.",0
"Southern Methodist","Southern Methodist",0
"Central Florida","Central Florida",0
"New Mexico","New Mexico",1
"NC State","NC State",1
"SUNY Buffalo","SUNY Buffalo",1
"Stevens Inst. Tech.","Stevens Inst. Tech.",0
"Washington State, Pullman","Washington State, Pullman",0
"McMaster","McMaster",0
"Brandeis","Brandeis",0
"Alberta","Alberta",0
"George Washington","George Washington",1
"Poly. Inst. of NYU","Poly. Inst. of NYU",0
"Iowa","Iowa",0
"Delaware","Delaware",1
"Iowa State","Iowa State",0
"Vanderbilt","Vanderbilt",0
"Florida","Florida",0
"George Mason","George Mason",0
"Notre Dame","Notre Dame",0
"Wayne State","Wayne State",0
"Calgary","Calgary",1
"Louisiana, Lafayette","Louisiana, Lafayette",0
"Western Ontario","Western Ontario",0
