school,in,out
"Stanford",42,158
"UC Berkeley",40,180
"MIT",55,248
"Caltech",11,39
"Harvard",16,56
"Cornell",41,96
"Carnegie Mellon",94,138
"Princeton",22,73
"Yale",17,43
"Washington",38,64
"Illinois, Urb. Champ.",42,141
"Wisconsin, Madison",30,78
"UPenn",25,65
"Rice",15,35
"UCLA",33,50
"NYU",20,25
"Chicago",16,24
"UT, Austin",35,91
"Brown",19,47
"Columbia",30,37
"Toronto",40,124
"Rochester",20,31
"Southern California",25,45
"Johns Hopkins",13,17
"UMass, Amherst",34,70
"UC San Diego",39,33
"Maryland, College Park",44,70
"Michigan",49,54
"UNC",23,32
"Duke",18,17
"SUNY Stony Brook",26,43
"UC Irvine",28,29
"Dartmouth",15,9
"Virginia",19,29
"Purdue",34,79
"Minnesota, Minneapolis",32,52
"Georgia Tech",61,60
"Rutgers",27,25
"Arizona",11,21
"Penn. State",28,38
"Ohio State",30,64
"Northwestern",32,30
"Wash. U. St. Louis",19,16
"Pittsburgh",16,32
"Boston Univ.",14,11
"British Columbia",29,40
"Oregon",13,8
"Syracuse",13,18
"UC Santa Barbara",24,19
"Utah",27,29
"UC Davis",25,16
"Texas A&M",23,26
"Houston",16,2
"Michigan State",24,21
"Waterloo",54,52
"Colorado, Boulder",20,13
"McGill",29,27
"CUNY Graduate Center",1,4
"Case Western",12,13
"UC Riverside",20,3
"Kansas",14,9
"Florida State",13,6
"William and Mary",9,8
"Lehigh",12,4
"Montreal",25,20
"Simon Fraser",28,13
"Illinois, Chicago",19,11
"Cincinnati",4,10
"UC Santa Cruz",22,7
"Rensselaer Polytech.",23,12
"Southern Methodist",8,10
"Central Florida",21,16
"New Mexico",14,8
"NC State",29,20
"SUNY Buffalo",24,16
"Stevens Inst. Tech.",9,7
"Washington State, Pullman",15,8
"McMaster",12,4
"Brandeis",9,2
"Alberta",34,20
"George Washington",13,8
"Poly. Inst. of NYU",12,9
"Iowa",13,12
"Delaware",16,3
"Iowa State",19,18
"Vanderbilt",14,7
"Florida",29,9
"George Mason",28,11
"Notre Dame",15,11
"Wayne State",19,17
"Calgary",18,11
"Louisiana, Lafayette",10,11
"Western Ontario",15,13
"Carleton",21,13
"Queens",19,12
"Wisconsin, Milwaukee",11,3
"Louisiana State",12,9
"Texas, Arlington",24,7
"Ottawa",16,8
"UConn",16,4
"Oregon Hlth & Sci",11,4
"Arizona State",34,10
"Lower 103 Universities",1335,301
