has,prefers,count
"Harvard","Harvard",9
"Yale","Yale",8
"UC Berkeley","UC Berkeley",8
"Princeton","Princeton",6
"Stanford","Stanford",3
"Chicago","Chicago",7
"Columbia","Columbia",14
"Brandeis","Brandeis",0
"Johns Hopkins","Johns Hopkins",3
"UPenn","UPenn",3
"Wisconsin, Madison","Wisconsin, Madison",2
"Michigan","Michigan",3
"UCLA","UCLA",8
"Northwestern","Northwestern",1
"Cornell","Cornell",2
"Brown","Brown",0
"UC Davis","UC Davis",0
"Rochester","Rochester",0
"NYU","NYU",1
"UC San Diego","UC San Diego",0
"Duke","Duke",2
"Minnesota","Minnesota",2
"Rutgers","Rutgers",1
"UNC","UNC",3
"Virginia","Virginia",1
"Lower 119 Universities","Lower 119 Universities",874
"Yale","Harvard",4
"UC Berkeley","Harvard",3
"Princeton","Harvard",2
"Stanford","Harvard",1
"Chicago","Harvard",1
"Columbia","Harvard",4
"Brandeis","Harvard",1
"Johns Hopkins","Harvard",1
"UPenn","Harvard",1
"Michigan","Harvard",1
"Brown","Harvard",1
"Rochester","Harvard",1
"NYU","Harvard",1
"Duke","Harvard",2
"Virginia","Harvard",1
"Lower 119 Universities","Harvard",1
"Harvard","Yale",3
"UC Berkeley","Yale",4
"Princeton","Yale",2
"Stanford","Yale",4
"Chicago","Yale",1
"Columbia","Yale",4
"Johns Hopkins","Yale",1
"UPenn","Yale",2
"Wisconsin, Madison","Yale",3
"Michigan","Yale",1
"Cornell","Yale",2
"Brown","Yale",2
"UNC","Yale",2
"Virginia","Yale",2
"Lower 119 Universities","Yale",7
"Harvard","UC Berkeley",10
"Yale","UC Berkeley",1
"Princeton","UC Berkeley",7
"Stanford","UC Berkeley",3
"Chicago","UC Berkeley",1
"Columbia","UC Berkeley",5
"UPenn","UC Berkeley",1
"Wisconsin, Madison","UC Berkeley",1
"UCLA","UC Berkeley",2
"Cornell","UC Berkeley",1
"Lower 119 Universities","UC Berkeley",2
"Harvard","Princeton",8
"Yale","Princeton",12
"UC Berkeley","Princeton",3
"Stanford","Princeton",2
"Chicago","Princeton",2
"Columbia","Princeton",2
"Brandeis","Princeton",1
"Johns Hopkins","Princeton",1
"UPenn","Princeton",5
"Wisconsin, Madison","Princeton",2
"Michigan","Princeton",1
"Northwestern","Princeton",1
"Cornell","Princeton",1
"Minnesota","Princeton",1
"Lower 119 Universities","Princeton",1
"Harvard","Stanford",10
"Yale","Stanford",1
"UC Berkeley","Stanford",8
"Princeton","Stanford",2
"Chicago","Stanford",3
