school,in,out
"Harvard",35,324
"Yale",48,307
"UC Berkeley",42,246
"Princeton",49,184
"Stanford",42,172
"Chicago",39,240
"Columbia",81,253
"Brandeis",12,43
"Johns Hopkins",26,108
"UPenn",39,128
"Wisconsin, Madison",44,180
"Michigan",90,173
"UCLA",61,162
"Northwestern",46,62
"Cornell",33,74
"Brown",31,58
"UC Davis",30,25
"Rochester",15,20
"NYU",45,62
"UC San Diego",38,35
"Duke",42,49
"Minnesota",44,52
"Rutgers",66,61
"UNC",46,66
"Virginia",48,69
"USC",30,10
"Washington",40,25
"MIT",16,10
"UT Austin",59,61
"Emory",30,30
"Indiana",41,55
"SUNY Stony Brook",29,14
"Illinois, Urb. Champ.",52,43
"Wash. U. St. Louis",25,11
"UC Riverside",28,15
"Michigan State",38,26
"UC Irvine",29,15
"UC Santa Barbara",40,29
"SUNY Binghamton",27,9
"Georgetown",36,18
"Arizona",27,20
"Maryland",37,18
"Catholic Univ. America",16,2
"Florida",36,13
"Carnegie Mellon",17,5
"Pittsburgh",21,17
"Tufts",18,8
"Notre Dame",34,21
"Rice",25,11
"SUNY Buffalo",22,5
"UC Santa Cruz",24,4
"Boston Univ.",38,13
"Vanderbilt",34,10
"George Washington",42,10
"UConn",29,12
"New Mexico",25,13
"Ohio State",62,41
"Georgia",29,13
"Iowa",27,18
"UMass Amherst",32,9
"Northern Illinois",24,7
"Miami",22,4
"Boston College",33,12
"Illinois, Chicago",29,12
"Temple",30,8
"Claremont",6,2
"LSU",23,7
"Kansas",32,13
"Hawaii",29,7
"Case Western",16,8
"Tulane",20,9
"Wayne State",21,2
"Florida State",24,6
"Drew",6,1
"Penn. State",38,12
"Princeton Theological Seminary",8,3
"William and Mary",31,7
"Cincinnati",23,6
"Florida International",19,2
"Tennessee",21,3
"Colorado",33,4
"Ohio",21,3
"Delaware",34,8
"Oregon",25,5
"Kentucky",30,5
"Toledo",6,6
"American",19,4
"Georgia State",27,2
"Arizona State",31,5
"Missouri, Columbia",26,10
"Utah",23,6
"New Hampshire",20,2
"SUNY Albany",20,2
"CUNY Graduate Center",64,8
"Clark",8,1
"Houston",34,8
"Syracuse",23,4
"Marquette",21,2
"Kent State",19,10
"Bowling Green State",8,3
"Maine",13,2
"Mississippi",29,2
"Washington State, Pullman",14,2
"Miami at Ohio",30,2
"Kansas State",19,3
"Oklahoma",35,6
"Howard",10,4
"Missouri, Kansas City",14,0
"Nebraska, Lincoln",23,6
"Jewish Theol. Sem. of America",36,13
"Saint Johns",14,1
"Northeastern",15,1
"Texas Christian",17,6
"Auburn",28,2
"Iowa State",15,1
"Graduate Theol. Union",9,3
"Lehigh",16,1
"Purdue",33,3
"South Carolina",31,3
"North Texas, Denton",27,1
"Loyola Chicago",30,2
"Texas A&M",45,3
"Arkansas, Fayetteville",23,1
"Northern Arizona",14,2
"West Virginia",17,3
"Fordham",31,1
"Alabama, Tuscaloosa",22,2
"Southern Mississippi",19,2
"Akron",13,0
"Texas, Dallas",17,0
"Nevada, Reno",15,0
"Illinois State",22,2
"Southern Illinois, Carbondale",13,1
"Southern Baptist Theol. Sem.",18,11
"Western Michigan",20,0
"Saint Louis",20,2
"Texas, Arlington",18,0
"Idaho, Moscow",8,0
"Texas Tech",28,0
"Memphis",18,1
"Mississippi State",17,0
"George Mason",50,0
"Oklahoma State",17,1
"Middle Tennessee State",35,0
