school,in,out
"Harvard",17,105
"Yale",13,123
"UC Berkeley",14,86
"Princeton",17,63
"Stanford",11,70
"Chicago",13,84
"Columbia",30,108
"Brandeis",3,13
"Johns Hopkins",7,34
"UPenn",18,54
"Wisconsin, Madison",18,53
"Michigan",35,77
"UCLA",14,59
"Northwestern",15,26
"Cornell",11,30
"Brown",14,18
"UC Davis",12,12
"Rochester",2,7
"NYU",19,30
"UC San Diego",13,15
"Duke",17,17
"Minnesota",24,25
"Rutgers",32,33
"UNC",13,27
"Virginia",11,19
"USC",14,3
"Washington",14,6
"MIT",7,1
"UT Austin",21,19
"Emory",11,12
"Indiana",15,21
"SUNY Stony Brook",13,8
"Illinois, Urb. Champ.",15,17
"Wash. U. St. Louis",14,6
"UC Riverside",13,8
"Michigan State",17,5
"UC Irvine",15,7
"UC Santa Barbara",20,18
"SUNY Binghamton",12,5
"Georgetown",12,4
"Arizona",12,9
"Maryland",14,8
"Catholic Univ. America",6,1
"Florida",16,3
"Carnegie Mellon",6,3
"Pittsburgh",8,3
"Tufts",6,3
"Notre Dame",8,6
"Rice",10,2
"SUNY Buffalo",9,2
"UC Santa Cruz",13,1
"Boston Univ.",12,5
"Vanderbilt",8,1
"George Washington",15,5
"UConn",12,3
"New Mexico",14,6
"Ohio State",24,15
"Georgia",9,3
"Iowa",12,8
"UMass Amherst",16,5
"Northern Illinois",11,2
"Miami",7,2
"Boston College",10,3
"Illinois, Chicago",13,5
"Temple",10,1
"Claremont",3,1
"LSU",9,0
"Kansas",14,3
"Hawaii",9,0
"Case Western",6,2
"Tulane",7,5
"Wayne State",8,0
"Florida State",6,4
"Drew",3,0
"Penn. State",16,6
"Princeton Theological Seminary",3,1
"William and Mary",10,3
"Cincinnati",11,4
"Florida International",13,0
"Tennessee",10,2
"Colorado",12,2
"Ohio",7,0
"Delaware",11,5
"Oregon",6,1
"Kentucky",10,3
"Toledo",2,1
"American",9,2
"Georgia State",10,0
"Arizona State",14,2
"Missouri, Columbia",8,2
"Utah",8,1
"New Hampshire",12,2
"SUNY Albany",6,1
"CUNY Graduate Center",24,3
"Clark",3,0
"Houston",12,0
"Syracuse",8,1
"Marquette",6,0
"Kent State",6,3
"Bowling Green State",3,0
"Maine",2,1
"Mississippi",9,0
"Washington State, Pullman",3,2
"Miami at Ohio",12,1
"Kansas State",6,1
"Oklahoma",12,1
"Howard",4,0
"Missouri, Kansas City",5,0
"Nebraska, Lincoln",9,0
"Jewish Theol. Sem. of America",11,5
"Saint Johns",6,0
"Northeastern",6,0
"Texas Christian",4,1
"Auburn",11,0
"Iowa State",4,0
"Graduate Theol. Union",3,0
"Lehigh",3,0
"Purdue",15,2
"South Carolina",15,0
"North Texas, Denton",5,0
"Loyola Chicago",12,1
"Texas A&M",9,0
"Arkansas, Fayetteville",7,1
"Northern Arizona",6,0
"West Virginia",5,0
"Fordham",13,1
"Alabama, Tuscaloosa",7,1
"Southern Mississippi",6,2
"Akron",5,0
"Texas, Dallas",5,0
"Nevada, Reno",7,0
"Illinois State",9,0
"Southern Illinois, Carbondale",5,0
"Southern Baptist Theol. Sem.",0,0
"Western Michigan",5,0
"Saint Louis",6,1
"Texas, Arlington",2,0
"Idaho, Moscow",4,0
"Texas Tech",9,0
"Memphis",7,1
"Mississippi State",6,0
"George Mason",23,0
"Oklahoma State",4,0
"Middle Tennessee State",16,0
