school,in,out
"Harvard",18,219
"Yale",35,184
"UC Berkeley",28,160
"Princeton",32,121
"Stanford",31,102
"Chicago",26,156
"Columbia",51,145
"Brandeis",9,30
"Johns Hopkins",19,74
"UPenn",21,74
"Wisconsin, Madison",26,127
"Michigan",55,96
"UCLA",47,103
"Northwestern",31,36
"Cornell",22,44
"Brown",17,40
"UC Davis",18,13
"Rochester",13,13
"NYU",26,32
"UC San Diego",25,20
"Duke",25,32
"Minnesota",20,27
"Rutgers",34,28
"UNC",33,39
"Virginia",37,50
"USC",16,7
"Washington",26,19
"MIT",9,9
"UT Austin",38,42
"Emory",19,18
"Indiana",26,34
"SUNY Stony Brook",16,6
"Illinois, Urb. Champ.",37,26
"Wash. U. St. Louis",11,5
"UC Riverside",15,7
"Michigan State",21,21
"UC Irvine",14,8
"UC Santa Barbara",20,11
"SUNY Binghamton",15,4
"Georgetown",24,14
"Arizona",15,11
"Maryland",23,10
"Catholic Univ. America",10,1
"Florida",20,10
"Carnegie Mellon",11,2
"Pittsburgh",13,14
"Tufts",12,5
"Notre Dame",26,15
"Rice",15,9
"SUNY Buffalo",13,3
"UC Santa Cruz",11,3
"Boston Univ.",26,8
"Vanderbilt",26,9
"George Washington",27,5
"UConn",17,9
"New Mexico",11,7
"Ohio State",38,26
"Georgia",20,10
"Iowa",15,10
"UMass Amherst",16,4
"Northern Illinois",13,5
"Miami",15,2
"Boston College",23,9
"Illinois, Chicago",16,7
"Temple",20,7
"Claremont",3,1
"LSU",14,7
"Kansas",18,10
"Hawaii",20,7
"Case Western",10,6
"Tulane",13,4
"Wayne State",13,2
"Lower 72 Universities",1048,163
